Material,Item
plastic,4 OR 6 pack yokes
paper OR cardboard,"advertisements, signs"
metal,aerosol cans
plastic,agricultural tarpaulin and packaging
other,alcohol other
metal,anchor
metal,appliances
metal,"appliances, bikes, carts"
metal,auto products
cloth,backpacks & bags
paper,bag (grocery)
plastic,bag (grocery)
plastic,bag (trash)
plastic,"bag (zip-lock, produce, other)"
other,bag ends
sanitarywaste,bagged dog faeces
paper,bags
plastic,bags
plastic,bait containers
plastic,bait containers OR crates
plastic,bait containers OR crates OR lures
plastic,bait containers OR packaging
other,"balloon, tennis ball, football, dog toy"
plastic,"balloon, tennis ball, football, dog toy"
rubber,balloons
plastic,balloons and balloon sticks
plastic,balls
sanitarywaste,bandages
metal,"bar, pipe, or wire"
metal,barrels
plastic,"baskets, crates"
metal,batteries
metal,batteries (acidic and alkaline)
metal,batteries: car or boat
cloth,beach towels
plastic,"beach use related cosmetic bottles and containers, e.g. sunblock"
plastic,Bead
metal,beams OR dunnage
glass,beer bottle
metal,beer cans
glass,beverage bottles
metal,beverage cans
glass,beverage containers
metal,beverage containers
plastic,beverage containers
sanitarywaste,blister pack
metal,boat parts
plastic,boat parts
plastic,bobbins (fishing)
metal,bolts
metal,"bolts, nails, and screws"
paper,books
cloth,boots
rubber,boots
metal,bottle caps
metal,"bottle caps, lids & pull tabs"
plastic,"bottle caps, lids & pull tabs"
plastic,bottle label
plastic,bottle neck rings
glass,bottles & jars
plastic,bottles & jars
plastic,bottles <2L
plastic,"bottles, etc. >2L"
plastic,"bottles: bleach, cleaner"
plastic,bottles: oil OR lube
concrete OR asphalt,"bricks, cinderblocks, chunks of cement"
glass,broken glass
plastic,buckets
metal,"buckets, drums & jerry cans: 2 litres or more"
plastic,"buckets, drums & jerry cans: 2 litres or more"
plastic,bulk bags
plastic,buoys
plastic,buoys & floats
plastic,cable ties
metal,cables
metal,cans
metal,cans OR tins
metal,caps OR lids
plastic,caps OR lids
metal,car OR boat parts
plastic,car OR boat parts
metal,car parts
plastic,car parts
paper OR cardboard,cardboard
paper OR cardboard,cardboard and paper
paper OR cardboard,cardboard cartons
cloth,carpet (synthetic)
cloth,carpet & furnishing
metal,carts OR parts
plastic,carts OR parts
other,"cd, cd-box"
other,chemicals and chemical containers
paper,cigar tips
paper,cigarette butts
paper,cigarette butts and filters
paper,cigarette filters
plastic,cigarette lighters
plastic,cigarette lighters OR tobacco pouches
other,cigarette materials
paper,cigarette packets
paper,cigarettes OR cigar tips
plastic,"cleaner(bottles,containersanddrums)"
cloth,cloth fragments
cloth,clothing
cloth,clothing & shoes
cloth,clothing OR rags
cloth,clothing OR shoes OR beach towels
cloth,clothing OR towel OR gloves
cloth,clothing OR towels OR gloves OR shoes
cloth,"clothing, hats, gloves & towels"
paper,coffee cup
plastic,coffee cup
plastic,coffee cup lid
other,coffee other
plastic,combs OR hairbrushes
wood,combs OR hairbrushes
metal,combs OR hairbrushes OR sunglasses
plastic,combs OR hairbrushes OR sunglasses
metal,computer equiptment & other electronic devices
sanitarywaste,condoms
concrete OR asphalt,"constructionmaterial(brick,cement,pipes)"
plastic,containers OR tubes
sanitarywaste,contraceptives
wood,corks
plastic,"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)"
sanitarywaste,cotton bud sticks
plastic,cover OR packaging
metal,crab or lobster or fish traps
metal,crab trap in need of removal
metal,crab trap that has been removed
plastic,crates
wood,crates
metal,crates and containers
plastic,crates and containers
wood,crates and containers
metal,crates and containers OR baskets
plastic,crates and containers OR baskets
wood,crates and containers OR baskets
plastic,crisp large
paper,crisp OR sweet OR lolly OR sandwich wrappers
plastic,crisp OR sweet OR lolly OR sandwich wrappers
plastic,crisp packets
paper,crisp packets OR sweets wrappers
plastic,crisp packets OR sweets wrappers
plastic,crisp small
glass,cups
metal,cups
paper,cups
plastic,cups
glass OR ceramic,cups & plates
paper,cups & plates
plastic,cups & plates
other,cups and cup lids
other,"cups, food trays, food wrappers, drink containers"
metal,"cups, lids, straws"
paper,"cups, lids, straws"
plastic,"cups, lids, straws"
metal,"cups, plates, forks, knives, spoons"
paper,"cups, plates, forks, knives, spoons"
plastic,"cups, plates, forks, knives, spoons"
metal,"cups, plates, tableware, dishes"
paper,"cups, plates, tableware, dishes"
plastic,"cups, plates, tableware, dishes"
metal,"cups, plates, utensils"
paper,"cups, plates, utensils"
plastic,"cups, plates, utensils"
metal,cutlery OR trays
plastic,cutlery OR trays
metal,cutlery OR trays OR straws
plastic,cutlery OR trays OR straws
glass,cutlery OR trays OR straws OR cups
metal,cutlery OR trays OR straws OR cups
paper,cutlery OR trays OR straws OR cups
plastic,cutlery OR trays OR straws OR cups
plastic,degraded bag
hard plastics,degraded bottle
plastic,degraded lighters
plastic,degraded straws
sanitarywaste,dental flossers
sanitarywaste,deoderant
metal,derelicttraps OR trappieces
sanitarywaste,diapers
sanitary waste,diapers OR nappies
paper,disposable food & beverage ware
plastic,disposable food & beverage ware
metal,disposablebbq's
plastic,dog waste bags
plastic,drink bottles<=0.5l
hard plastics,drink bottles>0.5l
organic,drinks
sanitarywaste,drug paraphanalia OR syringes
sanitarywaste,drugs
metal,drums
plastic,drums
metal,drums: 55 gallon
plastic,drums: 55 gallon
metal,e-waste fragments
sanitarywaste,ear plugs
paper OR cardboard,election posters
metal,energy drink can
plastic,engine oil bottles & containers <50 cm
plastic,engine oil bottles & containers >50 cm
sanitarywaste,face mask
paper,fastfoodcontainers OR cups
