polymer,length_um,morphology
asphalt,123.6543198,fragment
mineral,51.45206489,fragment
mineral,20.77292184,fragment
tire wear,20.61234193,fragment
mineral,40.05881299,fragment
mineral,39.57761672,fragment
mineral,39.01122159,fragment
tire wear,28.16036078,fragment
mineral,56.51293066,fragment
mineral,36.24396675,fragment
mineral,20.82553468,fragment
mineral,51.0376552,fragment
mineral,85.60500836,fragment
mineral,51.2812085,fragment
mineral,22.39043873,fragment
mineral,97.41462191,fragment
tire wear,20.35597369,fragment
mineral,32.24097882,fragment
mineral,23.28224365,fragment
mineral,44.62635264,fragment
mineral,89.95827625,fragment
tire wear,113.1936624,fragment
mineral,37.46721745,fragment
mineral,35.56806299,fragment
mineral,34.53861678,fragment
mineral,76.01237229,fragment
mineral,53.27952231,fragment
mineral,76.6608584,fragment
mineral,27.44202655,fragment
mineral,73.93108485,fragment
mineral,37.39895347,fragment
tire wear,53.22232101,fragment
mineral,28.22154589,fragment
asphalt,20.41514038,fragment
mineral,31.37398019,fragment
mineral,85.44691082,fragment
mineral,66.93489189,fragment
mineral,119.6221501,fragment
mineral,28.16079599,fragment
mineral,24.94543686,fragment
mineral,50.27303256,fragment
asphalt,55.87211178,fragment
paint,69.28799877,film
mineral,24.67709115,fragment
mineral,68.2518303,fragment
mineral,62.47110313,fragment
tire wear,121.9916256,fragment
tire wear,37.30043492,fragment
mineral,28.5140563,fragment
mineral,21.86572201,fragment
asphalt,41.64989215,fragment
mineral,43.95759698,fragment
mineral,37.99235848,fragment
mineral,45.41016127,fragment
mineral,56.32549802,fragment
mineral,50.37664906,fragment
mineral,24.13082703,fragment
mineral,20.0875095,fragment
tire wear,112.7095411,fragment
mineral,56.57327414,fragment
mineral,33.49218779,fragment
mineral,55.85560209,fragment
tire wear,62.37207086,fragment
mineral,21.54794498,fragment
mineral,21.57025605,fragment
mineral,86.96041255,fragment
mineral,97.79465344,fragment
mineral,74.7131231,fragment
mineral,32.53042634,fragment
mineral,36.6947779,fragment
mineral,64.11345826,fragment
mineral,30.07306521,fragment
tire wear,105.5714887,fragment
mineral,41.99640868,fragment
organic,32.49783494,fragment
mineral,21.41248229,fragment
mineral,52.67545803,fragment
mineral,35.08071756,fragment
mineral,77.1917141,fragment
mineral,66.88444304,fragment
mineral,33.34833602,fragment
mineral,59.21443359,fragment
asphalt,68.59707923,fragment
mineral,30.08848617,fragment
mineral,40.5355084,fragment
tire wear,120.7273948,fragment
mineral,38.61510057,fragment
mineral,52.93758988,fragment
mineral,36.3650436,fragment
mineral,41.87785605,fragment
mineral,29.02737968,fragment
mineral,20.22011039,fragment
mineral,103.1892084,fragment
organic,107.9587892,fragment
mineral,24.11674699,fragment
mineral,25.37016008,fragment
mineral,41.45124802,fragment
mineral,34.88106593,fragment
tire wear,23.8806541,fragment
mineral,21.83745019,fragment
mineral,24.17152733,fragment
mineral,43.79870103,fragment
mineral,27.90858813,fragment
mineral,103.2535685,fragment
mineral,43.9139031,fragment
mineral,43.81045894,fragment
mineral,20.75661824,fragment
tire wear,32.22982259,fragment
mineral,22.89089806,fragment
tire wear,44.23311933,fragment
mineral,30.65525455,fragment
mineral,30.15657423,fragment
asphalt,73.36260684,fragment
mineral,40.36080208,fragment
mineral,42.17065928,fragment
mineral,49.9008537,fragment
mineral,67.14698424,fragment
mineral,43.98609736,fragment
mineral,111.4653637,fragment
asphalt,65.21086412,fragment
mineral,21.60070379,fragment
mineral,43.78471209,fragment
mineral,27.75366024,fragment
mineral,29.49314375,fragment
mineral,34.42014388,fragment
mineral,28.14393103,fragment
mineral,66.65980093,fragment
mineral,28.97025551,fragment
mineral,36.25142374,fragment
mineral,39.6559742,fragment
mineral,22.95777591,fragment
mineral,57.40748293,fragment
tire wear,33.5738543,fragment
mineral,28.54645352,fragment
mineral,30.15218817,fragment
mineral,43.72903421,fragment
mineral,24.14182696,fragment
mineral,38.45310553,fragment
asphalt,94.74067582,fragment
mineral,24.23939504,fragment
asphalt,42.51942974,fragment
mineral,49.0575827,fragment
mineral,75.52266905,fragment
mineral,36.16536127,fragment
mineral,22.23940155,fragment
tire wear,46.91543796,fragment
mineral,40.97578629,fragment
mineral,105.0604655,fragment
mineral,49.74954441,fragment
mineral,105.717876,fragment
mineral,44.08054657,fragment
mineral,43.97970514,fragment
mineral,53.8417691,fragment
mineral,41.9621582,fragment
mineral,21.73759118,fragment
mineral,47.18169867,fragment
mineral,74.26637321,fragment
mineral,32.8603349,fragment
mineral,110.4374911,fragment
mineral,26.5700569,fragment
mineral,36.68302137,fragment
mineral,88.83173839,fragment
mineral,34.49084496,fragment
mineral,25.59773072,fragment
mineral,34.07823532,fragment
mineral,30.46580745,fragment
mineral,99.61791682,fragment
mineral,58.94105373,fragment
mineral,48.78158363,fragment
asphalt,26.07180913,fragment
mineral,21.11499343,fragment
asphalt,28.70914026,fragment
mineral,26.78657935,fragment
mineral,40.97278357,fragment
mineral,25.54340894,fragment
mineral,39.6185679,fragment
mineral,34.42928705,fragment
tire wear,50.44801254,fragment
mineral,20.76047608,fragment
mineral,53.12915953,fragment
mineral,32.49335521,fragment
mineral,39.50587026,fragment
mineral,26.42220731,fragment
asphalt,41.15853585,fragment
mineral,117.6902826,fragment
mineral,53.42307714,fragment
mineral,30.26829757,fragment
mineral,21.23889294,fragment
mineral,41.36324971,fragment
mineral,32.44836262,fragment
mineral,39.04728368,fragment
mineral,24.11569839,fragment
tire wear,24.63783697,fragment
tire wear,29.54553433,fragment
mineral,21.14058412,fragment
tire wear,41.36294579,fragment
mineral,21.68099813,fragment
mineral,70.47686592,fragment
mineral,83.66028807,fragment
mineral,74.29123429,fragment
mineral,36.72046999,fragment
mineral,76.57913123,fragment
mineral,46.7482236,fragment
mineral,88.84875828,fragment
tire wear,77.42425041,fragment
mineral,30.48532152,fragment
mineral,41.25056071,fragment
mineral,21.01109623,fragment
mineral,85.11019583,fragment
mineral,48.00222242,fragment
metallic,102.6719204,fragment
mineral,26.62008548,fragment
asphalt,20.60728118,fragment
mineral,76.85967873,fragment
mineral,81.08067754,fragment
mineral,26.74249091,fragment
asphalt,58.7615863,fragment
mineral,42.88736014,fragment
mineral,95.14046275,fragment
mineral,31.01213554,fragment
mineral,46.62860537,fragment
mineral,93.64979222,fragment
mineral,24.90381498,fragment
mineral,33.97782134,fragment
mineral,43.5050031,fragment
mineral,73.37109952,fragment
mineral,32.37010153,fragment
