polymer,length_um,morphology
tire wear & asphalt,5.323399194,fragment
mineral,2.387325442,fragment
mineral,9.609865924,fragment
mineral,11.18395541,fragment
mineral,3.02414925,fragment
mineral,10.04958136,fragment
mineral,3.881460084,fragment
mineral,2.940306674,fragment
mineral,3.806656417,fragment
mineral,4.72657445,fragment
mineral,10.41392937,fragment
mineral,5.670922014,fragment
mineral,5.442787287,fragment
mineral,2.26249092,fragment
mineral,2.91971555,fragment
mineral,2.285379075,fragment
mineral,9.648744909,fragment
mineral,9.492610743,fragment
mineral,2.552754871,fragment
mineral,2.958808989,fragment
mineral,2.093798055,fragment
mineral,2.818963289,fragment
mineral,7.091505036,fragment
mineral,4.238824252,fragment
mineral,5.37073816,fragment
mineral,6.077325625,fragment
mineral,10.48592255,fragment
mineral,3.446823481,fragment
mineral,3.260453791,fragment
mineral,5.256194653,fragment
mineral,4.146362836,fragment
mineral,7.664112586,fragment
mineral,6.089250792,fragment
mineral,5.407218337,fragment
mineral,2.32109852,fragment
mineral,5.400558772,fragment
mineral,2.791660582,fragment
mineral,5.303625705,fragment
mineral,6.093234839,fragment
tire wear & asphalt,14.48534846,fragment
mineral,10.97831915,fragment
mineral,2.800619229,fragment
tire wear & asphalt,2.907489686,fragment
organic,2.187669796,fragment
tire wear & asphalt,8.606591308,fragment
mineral,2.815579472,fragment
mineral,4.994564007,fragment
mineral,2.643257509,fragment
mineral,5.512508074,fragment
mineral,2.351064063,fragment
mineral,3.42854194,fragment
mineral,2.78240661,fragment
mineral,14.35022417,fragment
mineral,18.09048104,fragment
mineral,2.827485659,fragment
mineral,3.03753826,fragment
tire wear & asphalt,2.364794395,fragment
mineral,13.86254866,fragment
paint,5.506662416,film
mineral,2.001326528,fragment
tire wear & asphalt,4.315674033,fragment
mineral,5.498467367,fragment
mineral,8.373680398,fragment
mineral,17.48066928,fragment
paint,12.67256052,film
tire wear & asphalt,4.369558232,fragment
mineral,4.319079593,fragment
mineral,3.389736371,fragment
mineral,12.48431608,fragment
mineral,4.611736336,fragment
mineral,3.745154038,fragment
mineral,4.406494109,fragment
tire wear & asphalt,2.228749845,fragment
mineral,5.059875222,fragment
mineral,6.827998622,fragment
mineral,2.746622482,fragment
mineral,2.500849887,fragment
mineral,5.736591252,fragment
mineral,13.86514253,fragment
mineral,2.599062041,fragment
mineral,8.7538881,fragment
tire wear & asphalt,3.736442391,fragment
mineral,5.841429531,fragment
mineral,2.510892343,fragment
mineral,4.93184862,fragment
mineral,3.481054568,fragment
mineral,3.589150239,fragment
mineral,13.32453408,fragment
mineral,10.53568488,fragment
mineral,10.51570655,fragment
mineral,2.536054589,fragment
tire wear & asphalt,2.396444464,fragment
mineral,6.770001588,fragment
mineral,2.787304146,fragment
mineral,17.05638604,fragment
mineral,3.218087441,fragment
mineral,10.09864485,fragment
mineral,2.075642405,fragment
mineral,4.235689518,fragment
mineral,3.615131341,fragment
mineral,2.102703971,fragment
mineral,4.622493967,fragment
tire wear & asphalt,5.477819245,fragment
mineral,17.16496594,fragment
mineral,2.852062342,fragment
mineral,3.381854364,fragment
mineral,2.099013175,fragment
tire wear & asphalt,2.435315491,fragment
mineral,17.53974412,fragment
mineral,4.894425487,fragment
tire wear & asphalt,2.414786017,fragment
mineral,2.012604647,fragment
tire wear & asphalt,2.305405523,fragment
mineral,2.10905128,fragment
tire wear & asphalt,2.706195206,fragment
mineral,7.600342114,fragment
mineral,2.584679317,fragment
organic,6.586792636,fragment
mineral,3.081616818,fragment
tire wear & asphalt,3.085738894,fragment
mineral,17.19839144,fragment
mineral,6.276928035,fragment
mineral,9.029424256,fragment
mineral,3.229456583,fragment
mineral,7.885647421,fragment
mineral,6.302588919,fragment
mineral,8.594697256,fragment
mineral,3.972126658,fragment
mineral,11.71653033,fragment
mineral,3.104965808,fragment
mineral,4.148999652,fragment
mineral,2.539436123,fragment
mineral,5.140649783,fragment
mineral,2.753058811,fragment
mineral,5.64627256,fragment
mineral,5.129855143,fragment
mineral,15.73267888,fragment
mineral,2.426340344,fragment
mineral,2.089449761,fragment
mineral,5.571925162,fragment
mineral,2.279684451,fragment
mineral,2.284740095,fragment
mineral,5.109979527,fragment
mineral,5.043683443,fragment
mineral,8.267532594,fragment
mineral,9.256659212,fragment
mineral,3.123008667,fragment
mineral,3.302507296,fragment
mineral,8.898839037,fragment
mineral,5.445937793,fragment
mineral,6.695226984,fragment
mineral,3.21572134,fragment
mineral,2.933277462,fragment
mineral,4.527733254,fragment
mineral,16.81499487,fragment
mineral,12.46231939,fragment
mineral,2.513873918,fragment
mineral,2.73465563,fragment
mineral,3.411214061,fragment
tire wear & asphalt,3.483952435,fragment
mineral,14.3062475,fragment
mineral,2.237251989,fragment
mineral,4.907305948,fragment
tire wear & asphalt,2.686772619,fragment
tire wear & asphalt,4.773891825,fragment
mineral,3.740228649,fragment
mineral,3.197781155,fragment
mineral,3.257367481,fragment
tire wear & asphalt,2.056850359,fragment
mineral,3.117757598,fragment
organic,4.742759396,fragment
mineral,2.74408563,fragment
mineral,2.149168333,fragment
mineral,9.607610888,fragment
mineral,12.79599916,fragment
tire wear & asphalt,2.352121136,fragment
mineral,2.309199294,fragment
mineral,3.63808458,fragment
mineral,9.795290595,fragment
mineral,6.675033584,fragment
mineral,5.578242299,fragment
mineral,5.963747813,fragment
mineral,6.152981072,fragment
mineral,6.283944613,fragment
metallic,2.185041473,fragment
tire wear & asphalt,2.115883812,fragment
mineral,2.588224394,fragment
mineral,2.203583203,fragment
mineral,2.078758821,fragment
mineral,2.809758718,fragment
mineral,10.30195363,fragment
mineral,2.920669133,fragment
mineral,2.575820813,fragment
mineral,3.628684321,fragment
mineral,3.301856376,fragment
mineral,2.909881485,fragment
mineral,3.272872843,fragment
mineral,4.987977553,fragment
mineral,18.37060105,fragment
mineral,10.08047723,fragment
tire wear & asphalt,3.06243164,fragment
mineral,2.12711972,fragment
mineral,2.961226239,fragment
mineral,5.862626872,fragment
mineral,3.423502854,fragment
tire wear & asphalt,5.561568876,fragment
tire wear & asphalt,5.382590788,fragment
mineral,3.861771779,fragment
mineral,2.434416807,fragment
mineral,2.339969145,fragment
mineral,3.128688447,fragment
mineral,3.449467654,fragment
mineral,7.522667164,fragment
mineral,5.541191249,fragment
tire wear & asphalt,2.397133735,fragment
mineral,8.191205123,fragment
mineral,13.46522524,fragment
mineral,2.767626775,fragment
mineral,3.041204836,fragment
mineral,4.651566587,fragment
mineral,2.757609786,fragment
mineral,4.991390131,fragment
mineral,2.213932451,fragment
mineral,17.27692457,fragment
mineral,7.006129257,fragment
mineral,2.838013679,fragment
tire wear & asphalt,2.774864235,fragment
mineral,15.56950296,fragment
mineral,3.251179677,fragment
tire wear & asphalt,3.188126905,fragment
mineral,11.70176375,fragment
mineral,4.516377025,fragment
mineral,4.353524033,fragment
tire wear & asphalt,5.269492829,fragment
