Use,Alias,readable
constructionmaterials,constructionmaterials,construction materials
constructionmaterials,"constructionmaterial,large",construction materials
constructionmaterials,"constructionmaterial,small",construction materials
constructionmaterials,lumber/buildingmaterials,construction materials
constructionmaterials,constructionmaterial,construction materials
constructionmaterials,constructionmaterialse.g.tiles,construction materials
constructionmaterials,constructionwaste,construction materials
constructionmaterials,"constructionmaterial(brick,pipes,etc)",construction materials
constructionmaterials,c&dmaterials,construction materials
constructionmaterials,plasticconstructionwaste,construction materials
constructionmaterials,constructiondebris,construction materials
constructionmaterials,construction,construction materials
constructionmaterials,industrialpackagingandconstructiondebris,construction materials
constructionmaterials,industrialscrap,construction materials
vehicledebris,vehicledebris,vehicle debris
constructionmaterials,buildmaterials,construction materials
commonhouseholditems,commonhouseholditems,common household items
electronicandelectricwaste,electronicandelectricwaste,electronic & electricwaste
electronicandelectricwaste,e-waste,electronic & electricwaste
fishinggear,fishinggear,fishing gear
fishinggear,"fishinggear(floats,lures,traps,pots)",fishing gear
fishinggear,fisheriesandmariculturetackles,fishing gear
fishinggear,"fishingrelated(sinkers,lures,hooks,etc.)",fishing gear
food-related,food-related,food-related
food-related,takeout/awaycontainers,food-related
food-related,take-away/foodstand,food-related
food-related,"food(e.g.pots,tubs,sachets)",food-related
food-related,foodplastic,food-related
smoking-related,smoking-related,smoking-related
smoking-related,smoking-relatedactivities,smoking-related
smoking-related,smoking-relateditems,smoking-related
microplastics,microplastics,microplastics
fishinggear,marinedebris,fishing gear
gardening&farmingrelated,gardening&farmingrelated,gardening & farming related
large,large,large
medical/hygiene,medical/hygiene,medical/hygiene
medical/hygiene,personalcare,medical/hygiene
nonfoodrelatedpackaging,nonfoodrelatedpackaging,non-food related packaging
nonfoodrelatedpackaging,non-foodretail,non-food related packaging
officesupplies,officesupplies,office supplies
officesupplies,"officesupplies,pens,etc.",office supplies
nonfoodrelatedpackaging,packingmaterial,non-food related packaging
recreationalfishingandhunting,recreationalfishingandhunting,recreational fishing & hunting
safetyrelated,safetyrelated,safety related
"scuba&snorkelgear,masks,snorkels,fins","scuba&snorkelgear,masks,snorkels,fins","scuba & snorkelgear, masks, snorkels, fins"
shorelineandrecreationalactivites,shorelineandrecreationalactivites,shoreline and recreational activites
nonfoodrelatedpackaging,packagingmaterials,non-food related packaging
ocean/waterwayactivities,ocean/waterwayactivities,ocean/waterway activities
entertainmentandtoys,entertainmentandtoys,entertainment & toys
clothingandtextiles,clothingandtextiles,clothing & textiles
other,other,other
