source,material,n,density,lower_conf,upper_conf
win_DB,PP,8898,1,0.998586874,1.001413126
win_DB,Thermoplastic Elastomers,7409,1.02,1.018438768,1.021561232
win_DB,PC,5979,1.2,1.198248698,1.201751302
Parent,Polycarbonates,NA,1.2,1.198248698,1.201751302
win_DB,Nylon 66,5649,1.33,1.328195111,1.331804889
win_DB,PVC,5527,1.33,1.32817412,1.33182588
win_DB,Nylon 6,5288,1.3,1.298130955,1.301869045
win_DB,ABS,3579,1.1105,1.108207718,1.112792282
win_DB,Silicone,3006,1.15,1.147491345,1.152508655
win_DB,Polybutylene Terephthalate,2448,1.45,1.447212111,1.452787889
win_DB,HDPE,2392,0.953,0.950178856,0.955821144
win_DB,Rubber or Thermoset Elastomer,2365,1.18,1.177162406,1.182837594
win_DB,Polystyrene,2114,1.05,1.046994818,1.053005182
Parent,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",N/A,1.05,1.046994818,1.053005182
Parent,Polystyrenes (POLYPHENYLETHYLENES),N/A,1.05,1.046994818,1.053005182
win_DB,Epoxy,1982,1.34,1.336894267,1.343105733
win_DB,Thermoplastic Polyurethane,1927,1.19,1.186849374,1.193150626
Parent,Polyurethanes (isocyanates),NA,1.19,1.186849374,1.193150626
win_DB,Acetal,1668,1.42,1.41660912,1.42339088
win_DB,LDPE,1489,0.922,0.91840782,0.92559218
win_DB,LLDPE,1308,0.92,0.91616381,0.92383619
win_DB,Polyphenylene EtherPPO,948,1.12,1.115485699,1.124514301
win_DB,Phenolic,893,1.43,1.425347466,1.434652534
win_DB,Thermoset Polyester,880,1.783,1.77831292,1.78768708
win_DB,PMMA,849,1.18,1.17522737,1.18477263
win_DB,Polyphenylene Sulfide (PPS),846,1.61,1.605218843,1.614781157
win_DB,Ethylene Vinyl Acetate,779,0.939,0.934015792,0.943984208
win_DB,PET,737,1.45,1.444874656,1.455125344
Parent,Polyterephthalates,NA,1.45,1.444874656,1.455125344
win_DB,PTFE,724,2.16,2.154828508,2.165171492
win_DB,Polyetheretherketone,681,1.4165,1.411166581,1.421833419
win_DB,Polyetherimide ,630,1.36,1.354453482,1.365546518
win_DB,AcrylicCyanoacrylate Adhesive,534,1.06,1.053972604,1.066027396
win_DB,Polyphthalamide (PPA),530,1.49,1.48394978,1.49605022
win_DB,Nylon 12,525,1.03,1.023920885,1.036079115
win_DB,Thermoset Fluoropolymer,499,1.82,1.813763707,1.826236293
win_DB,Nylon 6-66,339,1.32,1.312427735,1.327572265
win_DB,Nylon 46,331,1.41,1.402336466,1.417663534
win_DB,Acrylonitrile-Styrene-Acrylate ,329,1.08,1.072313131,1.087686869
