Material,Alias,readable
biohazard,toxic,biohazard
biohazard,biohazard,biohazard
ceramic,pottery/ceramic,ceramic
ceramic,concrete/pottery,ceramic
ceramic,pottery/ceramics,ceramic
ceramic,ceramic,ceramic
cloth,rag/cloth,cloth
cloth,clothing,cloth
cloth,cloth,cloth
cloth,clothes/fabric,cloth
cloth,textile,cloth
cloth,fabric,cloth
cloth,fabric/cloth,cloth
cloth,naturalproducts/clothes,cloth
cloth,cloth/fabric,cloth
cloth,textiles,cloth
cotton,textiles/naturalfibers,cotton
cloth,cloth/textile,cloth
cloth,clothmaterials,cloth
faeces,animalfaeces,faeces
faeces,faeces,faeces
fibreglass,fibreglass,fibreglass
foam,foam,foam
eps,expanded polystyrene,EPS
polystyrene,polystyrene,polystyrene
foam,polystyrenefoam,foam
foam,styrofoam,foam
polystyrene,styro.,polystyrene
foam,foamedplastic,foam
glass,glass,glass
glassorceramic,glassorceramic,glass OR ceramic
glassorceramic,glass&ceramicmaterials,glass OR ceramic
glassorceramic,glass/ceramic,glass OR ceramic
glassorceramic,glass/ceramics,glass OR ceramic
glassorceramic,glass&ceramic,glass OR ceramic
hardplastics,hardplastics,hard plastics
metal,metals,metal
metal,metalmaterials,metal
metal,metal,metal
metal,metallic,metal
leather,leather,leather
organic,food,organic
organic,biodegradable,organic
organic,organic,organic
organic,organics,organic
organic,organicitems,organic
organic,organicmatter,organic
other,miscellaneous,other
other,other,other
other,others,other
other,mixedmaterials,other
other,otheritems,other
woodandpaper,cigarette,wood and paper
otherplastic,otherplastic,other plastic
other,unidentified,other
paint,paint,paint
paper,paper,paper
paperorcardboard,paperorcardboard,paper OR cardboard
paperorcardboard,paper/cardboardmaterials,paper OR cardboard
paperorcardboard,paper/cardboard,paper OR cardboard
paperorcardboard,paper/carton,paper OR cardboard
plastic,plastic,plastic
plastic,plastics,plastic
plastic,plasticmaterials,plastic
plastic,polymeric,plastic
plastic,plasticfragments,plastic
polystyrene,plastic/polystyrene,polystyrene
plastic,plastic/styrofoam,plastic
plastic,artificialpolymermaterials,plastic
rubber,rubbermaterials,rubber
rubber,rubber,rubber
sanitarywaste,sanitarywaste,sanitary waste
sanitarywaste,personalhygiene,sanitary waste
biohazard,medicalwaste,biohazard
sanitarywaste,sanitary,sanitary waste
biohazard,medical/personalhygiene,biohazard
biohazard,medical,biohazard
softplastics,softplastics,soft plastics
tirewear&asphalt,tirewear&asphalt,tire wear & asphalt
tirewear&asphalt,tirewearandasphalt,tire wear & asphalt
tirewear&asphalt,tirewear/asphalt,tire wear & asphalt
tirewear&asphalt,tyrewear&asphalt,tire wear & asphalt
tirewear&asphalt,tyrewearandasphalt,tire wear & asphalt
tirewear&asphalt,tyrewear/asphalt,tire wear & asphalt
tirewear,tirewear,tire wear
tirewear,tyrewear,tire wear
wood,wood,wood
wood,woodydebris,wood
processedwood,processedwood,processed wood
wood,man.wood,wood
wood,lumber,wood
processedwood,processedlumber,processed wood
woodandpaper,woodmaterials,wood and paper
wood,timber,wood
processedwood,processed/workedwood,processed wood
wood,wood(machined),wood
woodandpaper,woodandpaper,wood and paper
woodandpaper,paper&lumber,wood and paper
concreteorasphalt,concreteorasphalt,concrete OR asphalt
concreteorasphalt,concrete/asphalt,concrete OR asphalt
asphalt,asphalt,asphalt
"1,4-polyisoprene(cisandtrans)(latex)","1,4-polyisoprene(cisandtrans)(latex)","1,4-Polyisoprene (cis and trans)(Latex)"
abs,acrylonitrilebutadienestyrene,ABS
abs,acrylonitrilebutadienestyrene(abs),ABS
PAN,acrylic,PAN
bisphenolapolysulfone,bisphenolapolysulfone,Bisphenol A Polysulfone
bisphenol-adiglycidyletherepoxyresin,bisphenol-adiglycidyletherepoxyresin,Bisphenol-A diglycidyl ether epoxy resin
bisphenol-fdiglycidyletherepoxyresin,bisphenol-fdiglycidyletherepoxyresin,Bisphenol-F diglycidyl ether epoxy resin
ca,celluloseacetate,CA
ca,cellulose,CA
cellophane,cellophane,Cellophane
cellulosederivatives(ethercellulose),cellulosederivatives(ethercellulose),Cellulose Derivatives (Ether Cellulose)
cellulosenitrate,cellulosenitrate,Cellulose Nitrate
cotton,cotton,cotton
epdmrubber(ethylenepropylenedienemonomerrubber),epdmrubber(ethylenepropylenedienemonomerrubber),EPDM rubber (ethylene propylene diene monomer rubber)
er,epoxyresin,ER
epoxy,epoxy,epoxy
ethylcellulose,ethylcellulose,Ethyl Cellulose
ethylene-propylene,ethylene-propylene,Ethylene-propylene
isobutylene-isoprene,isobutylene-isoprene,Isobutylene-isoprene
kevlar-polyaramide,kevlar-polyaramide,Kevlar - Polyaramide
ldpe,lowdensitypolyethylene,LDPE
ldpe,low-densitypolyethylene,LDPE
hdpe,highdensitypolyethylene,HDPE
hdpe,high-densitypolyethylene,HDPE
hdpe,polyethylenehigh-density,HDPE
melamine-formaldehyde,melamine-formaldehyde,Melamine-formaldehyde
methylcellulose,methylcellulose,Methyl Cellulose
mineral,mineral,mineral
neoprene,neoprene,neoprene
neoprene,polychloroprene,neoprene
nomex-poly(m-phenyleneterephthalamide),nomex-poly(m-phenyleneterephthalamide),Nomex - Poly(m-phenylene terephthalamide)
nonpolymeric,nonpolymeric,nonpolymeric
notplastic,notplastic,not plastic
nylon10-poly(decano-10-lactam),nylon10-poly(decano-10-lactam),Nylon 10 - Poly(decano-10-lactam)
"nylon10,10-poly(decamethylenesebacamide)","nylon10,10-poly(decamethylenesebacamide)","Nylon 10,10 - Poly(decamethylene sebacamide)"
nylon11-poly(undecano-11-lactam),nylon11-poly(undecano-11-lactam),Nylon 11 - Poly(undecano-11-lactam)
nylon11-poly(undecano-11-lactam),nylon11,Nylon 11 - Poly(undecano-11-lactam)
nylon12-poly(dodecano-12-lactam),nylon12-poly(dodecano-12-lactam),Nylon 12 - Poly(dodecano-12-lactam)
nylon12-poly(dodecano-12-lactam),nylon12,Nylon 12 - Poly(dodecano-12-lactam)
nylon3-poly(propiolactam),nylon3-poly(propiolactam),Nylon 3 - Poly(propiolactam)
"nylon4,6-poly(tetramethyleneadipamide)","nylon4,6-poly(tetramethyleneadipamide)","Nylon 4,6 - Poly(tetramethylene adipamide)"
"nylon4,6-poly(tetramethyleneadipamide)",nylon46,"Nylon 4,6 - Poly(tetramethylene adipamide)"
nylon6-poly(caprolactam),nylon6,Nylon 6 - Poly(caprolactam)
nylon6-poly(caprolactam),nylon6-poly(caprolactam),Nylon 6 - Poly(caprolactam)
"nylon6,10-poly(hexamethylenesebacamide)","nylon6,10-poly(hexamethylenesebacamide)","Nylon 6,10 - Poly(hexamethylene sebacamide)"
"nylon6,10-poly(hexamethylenesebacamide)",nylon610,"Nylon 6,10 - Poly(hexamethylene sebacamide)"
"nylon6,12-poly(hexamethylenedodecanediamide)","nylon6,12-poly(hexamethylenedodecanediamide)","Nylon 6,12 - Poly(hexamethylene dodecanediamide)"
"nylon6,12-poly(hexamethylenedodecanediamide)",nylon612,"Nylon 6,12 - Poly(hexamethylene dodecanediamide)"
"nylon6,6-poly(hexamethyleneadipamide)","nylon6,6-poly(hexamethyleneadipamide)","Nylon 6,6 - Poly(hexamethylene adipamide)"
"nylon6,6-poly(hexamethyleneadipamide)",nylon66,"Nylon 6,6 - Poly(hexamethylene adipamide)"
"nylon6,9-poly(hexamethyleneazelamide)","nylon6,9-poly(hexamethyleneazelamide)","Nylon 6,9 - Poly(hexamethylene azelamide)"
nylon6-66,nylon6-66,Nylon 6-66
nylon8-polycapryllactam,nylon8-polycapryllactam,Nylon 8 - Polycapryllactam
olefin,olefin,Olefin
other,othermaterial,other
pa,polyamide,PA
pa,nylon,PA
paa,polyacrylicacid,PAA
paa,poly(acrylicacid),PAA
pai,poly(trimellitamideimide),PAI
pam,polyacrylamide,PAM
pam,poly(acrylamide),PAM
pan,polyacrylonitrile,PAN
pan,acrylonitrile,PAN
pan,poly(acrylonitrile),PAN
pba,phenylbutricacid,PBA
pbt,polybutyleneterephthalate,PBT
pbt,poly(butyleneterephthalate),PBT
pc,polycarbonate,PC
pdms,polydimethylsiloxane,PDMS
pdms,poly(dimethylsiloxane)(pdms),PDMS
pe,polyethylene,PE
pe,poly(ethylene),PE
pe+ps,polyethylene+polystyrene,PE+PS
peek,peek-poly(etheretherketone),PEEK
peek,polyetheretherketone,PEEK
peek,poly(etheretherketone),PEEK
pek,pek-poly(etherketone),PEK
pek,poly(etherketone),PEK
pekk,pekk-poly(etherketoneketone),PEKK
