Material,Alias,readable
biohazard,toxic,biohazard
biohazard,biohazard,biohazard
ceramic,pottery/ceramic,ceramic
ceramic,concrete/pottery,ceramic
ceramic,pottery/ceramics,ceramic
ceramic,ceramic,ceramic
cloth,rag/cloth,cloth
cloth,clothing,cloth
cloth,cloth,cloth
cloth,clothes/fabric,cloth
cloth,textile,cloth
cloth,fabric,cloth
cloth,fabric/cloth,cloth
cloth,naturalproducts/clothes,cloth
cloth,cloth/fabric,cloth
cloth,textiles,cloth
cotton,textiles/naturalfibers,cotton
cloth,cloth/textile,cloth
cloth,clothmaterials,cloth
feces,feces,feces
feces,animalfaeces,feces
feces,faeces,feces
fibreglass,fibreglass,fibreglass
foam,foam,foam
foam,polystyrenefoam,foam
foam,styrofoam,foam
foam,foamedplastic,foam
glass,glass,glass
glassorceramic,glassorceramic,glass OR ceramic
glassorceramic,glass&ceramicmaterials,glass OR ceramic
glassorceramic,glass/ceramic,glass OR ceramic
glassorceramic,glass/ceramics,glass OR ceramic
glassorceramic,glass&ceramic,glass OR ceramic
hardplastics,hardplastics,hard plastics
metal,metals,metal
metal,metalmaterials,metal
metal,metal,metal
metal,metallic,metal
leather,leather,leather
organic,food,organic
organic,biodegradable,organic
organic,organic,organic
organic,organics,organic
organic,organicitems,organic
organic,organicmatter,organic
other,miscellaneous,other
other,other,other
other,others,other
other,mixedmaterials,other
other,otheritems,other
woodandpaper,cigarette,wood and paper
other,unidentified,other
paint,paint,paint
paper,paper,paper
paperorcardboard,paperorcardboard,paper OR cardboard
paperorcardboard,paper/cardboardmaterials,paper OR cardboard
paperorcardboard,paper/cardboard,paper OR cardboard
paperorcardboard,paper/carton,paper OR cardboard
plastic,plastic,plastic
plastic,plastics,plastic
plastic,plasticmaterials,plastic
plastic,polymeric,plastic
plastic,plasticfragments,plastic
plastic,plastic/styrofoam,plastic
plastic,artificialpolymermaterials,plastic
rubber,rubbermaterials,rubber
rubber,rubber,rubber
sanitarywaste,sanitarywaste,sanitary waste
sanitarywaste,personalhygiene,sanitary waste
biohazard,medicalwaste,biohazard
sanitarywaste,sanitary,sanitary waste
biohazard,medical/personalhygiene,biohazard
biohazard,medical,biohazard
softplastics,softplastics,soft plastics
tirewear&asphalt,tirewear&asphalt,tire wear & asphalt
tirewear&asphalt,tirewearandasphalt,tire wear & asphalt
tirewear&asphalt,tirewear/asphalt,tire wear & asphalt
tirewear&asphalt,tyrewear&asphalt,tire wear & asphalt
tirewear&asphalt,tyrewearandasphalt,tire wear & asphalt
tirewear&asphalt,tyrewear/asphalt,tire wear & asphalt
tirewear,tirewear,tire wear
tirewear,tyrewear,tire wear
wood,wood,wood
wood,woodydebris,wood
processedwood,processedwood,processed wood
wood,man.wood,wood
wood,lumber,wood
processedwood,processedlumber,processed wood
woodandpaper,woodmaterials,wood and paper
wood,timber,wood
processedwood,processed/workedwood,processed wood
wood,wood(machined),wood
woodandpaper,woodandpaper,wood and paper
woodandpaper,paper&lumber,wood and paper
concreteorasphalt,concreteorasphalt,concrete OR asphalt
concreteorasphalt,concrete/asphalt,concrete OR asphalt
asphalt,asphalt,asphalt
wool,wool,wool
