,Min,Max,Value,Test Name,Comment,ID,density,polymer
1,NA,NA,1.21,ASTM D792,NA,1,1.21,Polyphenylene EtherPPO
2,NA,NA,0.9185,ASTM D1505,NA,2,0.9185,LDPE
3,NA,NA,0.924,NA,NA,5,0.924,LDPE
4,NA,NA,0.9,ASTM D792,NA,7,0.9,PP
5,NA,NA,1.15,ASTM D 792,NA,8,1.15,Nylon 612
6,NA,NA,1.24,ASTM D792-91,NA,9,1.24,PP
7,NA,NA,1.04,ISO 1183,NA,10,1.04,PP
8,NA,NA,1.74,ASTM D 792,NA,11,1.74,Liquid Crystal Polymer
9,NA,NA,0.953,ASTM D1505,NA,12,0.953,HDPE
10,NA,NA,1.15,ASTM D792,NA,13,1.15,Thermoplastic Elastomers
11,NA,NA,1.4,ASTM D792,NA,14,1.4,Polyphthalamide (PPA)
12,NA,NA,1.43,ASTM D792,NA,16,1.43,Vinyl (PVC)
13,NA,NA,0.96,ISO R1183,NA,17,0.96,Thermoplastic Elastomers
14,NA,NA,1.66,ISO 1183,NA,18,1.66,Nylon 6
15,NA,NA,0.92,ASTM-D792,NA,19,0.92,PP
16,NA,NA,1.13,ISO data,NA,20,1.13,Nylon 6
17,NA,NA,1.14,DIN 53479,NA,21,1.14,Nylon 6
18,NA,NA,1.14,ASTM D792,NA,22,1.14,Nylon 66
19,NA,NA,0.98,NA,NA,23,0.98,Rubber or Thermoset Elastomer
20,NA,NA,1.2,ASTM D792,NA,24,1.2,ABS
21,NA,NA,1.2,ASTM D792,NA,24,1.2,PC
22,NA,NA,1.26,ASTM D 792,NA,25,1.26,Polyethersulfone
23,NA,NA,0.91,ISO 1183,NA,26,0.91,PP
24,NA,NA,1.07,ASTM D792,NA,27,1.07,ABS
25,NA,NA,1.04,ASTM D792,NA,28,1.04,Polystyrene
26,NA,NA,0.94,ISO 1183,NA,29,0.94,Thermoplastic Elastomers
27,NA,NA,1.09,ISO 1183/A,NA,30,1.09,Nylon 6
28,NA,NA,1.19,ASTM D792,NA,31,1.19,PMMA
29,1.29,1.33,NA,ISO R 1183,NA,32,1.31,Vinyl (PVC)
30,NA,NA,1.13,NA,NA,33,1.13,Rubber or Thermoset Elastomer
31,NA,NA,0.99,ISO 1183,NA,34,0.99,PP
32,NA,NA,1.19,ASTM D792,NA,35,1.19,Vinyl (PVC)
33,NA,NA,1.52,ASTM D792,NA,36,1.52,Polybutylene Terephthalate
34,NA,NA,0.902,ASTM D792,NA,39,0.902,PP
35,1.12,1.15,NA,ISO 1183,NA,40,1.135,Nylon 6
36,2.13,2.22,NA,ASTM D792,NA,41,2.175,PTFE
37,NA,NA,1.06,ASTM D792,NA,42,1.06,Thermoplastic Polyurethane
38,NA,NA,1.06,ASTM D792,NA,42,1.06,Thermoplastic Elastomers
39,1.21,1.25,NA,ISO R 1184,NA,43,1.23,Vinyl (PVC)
40,NA,NA,1.21,ISO 1183-1,NA,44,1.21,Thermoplastic Polyurethane
41,NA,NA,0.96,ASTM D792,NA,45,0.96,Ethylene Vinyl Acetate
42,NA,NA,0.93,ASTM D792,NA,46,0.93,Thermoplastic Elastomers
43,1.31,1.35,NA,ASTM D792,NA,48,1.33,Vinyl (PVC)
44,NA,NA,1.49,ISO 1183,NA,49,1.49,Polybutylene Terephthalate
45,NA,NA,1.46,ASTM D792,NA,50,1.46,Polybutylene Terephthalate
46,NA,NA,1.33,ASTM D792,NA,51,1.33,Nylon 612
47,NA,NA,1.08,ISO 1183,NA,52,1.08,Styrene Acrylonitrile (SAN)
48,NA,NA,1.17,ASTM D792,NA,53,1.17,Nylon 66
49,NA,NA,1.49,ASTM D792,Dry,54,1.49,Nylon 6
50,NA,NA,1.13,ASTM D792,NA,55,1.13,Nylon 6
51,NA,NA,1.13,ISO 1183,NA,56,1.13,PP
52,NA,NA,0.95,ASTM D 792,NA,57,0.95,HDPE
53,NA,NA,1.29,ASTM D792,NA,58,1.29,Thermoplastic Polyurethane
54,NA,NA,1.29,ASTM D792,NA,58,1.29,PP
55,NA,NA,0.1,NA,NA,59,0.1,Aramid
56,NA,NA,0.1,NA,NA,59,0.1,Phenolic
57,NA,NA,1.25,ASTM D792,NA,60,1.25,Nylon 66
58,NA,NA,1.17,ASTM D 792,NA,61,1.17,ABS
59,NA,NA,2.9,ASTM D1475,NA,62,2.9,Epoxy
60,NA,NA,0.99,NA,NA,63,0.99,PP
61,NA,NA,1.07,ASTM D792,NA,64,1.07,Styrene Acrylonitrile (SAN)
62,NA,NA,0.92,ASTM D4025,NA,66,0.92,Thermoplastic Elastomers
63,NA,NA,1.19,ASTM D792,NA,67,1.19,ABS
64,NA,NA,1.19,ASTM D792,NA,67,1.19,PC
65,NA,NA,1.3,ASTM D 792,NA,68,1.3,PC
66,NA,NA,1.2,NA,NA,69,1.2,Vinyl (PVC)
67,NA,NA,1.59,ASTM D792,NA,70,1.59,Polyethylene Terephthalate
68,NA,NA,1.33,ASTM D792,NA,71,1.33,Polybutylene Terephthalate
69,NA,NA,0.91,ASTM D792,NA,73,0.91,Thermoplastic Elastomers
70,NA,NA,1.13,ISO 1183,NA,74,1.13,Nylon 66
71,NA,NA,1.52,ASTM D792,NA,75,1.52,Thermoset Polyester
72,NA,NA,1.52,ASTM D792,NA,76,1.52,Polybutylene Terephthalate
73,NA,NA,0.947,ASTM D 792,NA,77,0.947,HDPE
74,NA,NA,1.8,ISO 1183,NA,78,1.8,Thermoset Polyester
75,NA,NA,0.75,ASTM D3574,NA,80,0.75,PP
76,NA,NA,0.94,ASTM D792,NA,81,0.94,Ethylene Vinyl Acetate
77,NA,NA,0.99,ASTM D792,NA,82,0.99,Thermoplastic Elastomers
78,NA,NA,1.11,ISO 1183,NA,83,1.11,Nylon 6
79,0.89,NA,NA,NA,NA,84,NA,Thermoplastic Elastomers
80,NA,NA,1.4,ASTM D792,NA,85,1.4,Vinyl (PVC)
81,NA,NA,1.49,NA,NA,87,1.49,Epoxy
82,NA,NA,0.98,NA,NA,87,0.98,Epoxy
83,NA,NA,1.43,ASTM D792,NA,88,1.43,Polyphenylene EtherPPO
84,NA,NA,1.43,ASTM D792,NA,88,1.43,Polystyrene
85,NA,NA,1.43,ISO 1183,NA,88,1.43,Polyphenylene EtherPPO
86,NA,NA,1.43,ISO 1183,NA,88,1.43,Polystyrene
87,NA,NA,1.13,ISO 1183,NA,89,1.13,Nylon 6
88,NA,NA,0.98,NA,NA,90,0.98,PP
89,NA,NA,1.14,ASTM D792,NA,91,1.14,Nylon 66
90,NA,NA,2.16,ASTM D4894,NA,92,2.16,PTFE
91,NA,NA,0.947,ASTM D4883,NA,93,0.947,LDPE
92,NA,NA,1.57,ASTM D 792,NA,94,1.57,Polyphthalamide (PPA)
93,NA,NA,1.16,ISO 1183,NA,95,1.16,PMMA
94,NA,NA,1.13,ASTM D792,NA,96,1.13,PP
95,NA,NA,1.2,NA,NA,98,1.2,Epoxy
96,NA,NA,1.25,ASTM D792,NA,99,1.25,ABS
97,NA,NA,1.25,ASTM D792,NA,99,1.25,PC
98,NA,NA,1.25,ASTM D792,NA,100,1.25,PP
99,NA,NA,1.21,ASTM D792,NA,101,1.21,Vinyl (PVC)
100,NA,NA,1.07,ISO 1183,NA,102,1.07,Nylon 66
101,NA,NA,1.09,ISO 1183,NA,104,1.09,Thermoplastic Elastomers
102,0.29,0.45,NA,ASTM D 1056,NA,105,0.37,Rubber or Thermoset Elastomer
103,NA,NA,1.25,ASTM D792,NA,106,1.25,Vinyl (PVC)
104,1.51,1.55,NA,ISO R 1184,NA,109,1.53,Vinyl (PVC)
105,NA,NA,1.05,ASTM D792,NA,110,1.05,PP
106,NA,NA,1.09,ASTM D792,NA,111,1.09,ABS
107,NA,NA,1.41,ISO 1183,NA,112,1.41,Nylon 46
108,NA,NA,1.05,ASTM D792-91,NA,113,1.05,ABS
109,NA,NA,1.18,ISO 1183,Dry,114,1.18,Nylon 46
110,NA,NA,1.38,ASTM D792,NA,115,1.38,Nylon 6
111,NA,NA,1.5,ASTM D792,NA,117,1.5,Polyethylene Terephthalate
112,NA,NA,1.36,ASTM D792,NA,119,1.36,Polyphthalamide (PPA)
113,NA,NA,0.926,ASTM D792,NA,121,0.926,LLDPE
114,NA,NA,1.24,ASTM D792,NA,122,1.24,ABS
115,NA,NA,1.2,NA,NA,123,1.2,Vinyl (PVC)
116,NA,NA,1.14,ISO 1183,NA,124,1.14,Nylon 66
117,NA,NA,1.13,NA,NA,125,1.13,Nylon 6
118,NA,NA,1.2,ASTM D792,NA,126,1.2,Cellulosic
119,NA,NA,1.7,ISO 1183,NA,128,1.7,Nylon 66
120,NA,NA,1.3,ASTM D792,NA,129,1.3,Polybutylene Terephthalate
121,NA,NA,1.3,ASTM D792,NA,129,1.3,PC
122,NA,NA,1.14,ASTM D792,NA,130,1.14,Nylon 66
123,1.35,1.39,NA,ASTM D-792,NA,131,1.37,Vinyl (PVC)
124,NA,NA,1.58,ASTM D792,NA,132,1.58,Vinyl (PVC)
125,NA,NA,1.05,ASTM D792,NA,133,1.05,Polystyrene
126,NA,NA,0.953,ASTM D4883,NA,134,0.953,HDPE
127,NA,NA,1.2,NA,NA,135,1.2,Vinyl (PVC)
128,NA,NA,1.39,ASTM D792,NA,136,1.39,Phenolic
129,NA,NA,1.65,ASTM D792,NA,137,1.65,Vinyl (PVC)
130,NA,NA,1.86,ISO 1183,NA,138,1.86,Phenolic
131,NA,NA,1.03,NA,NA,139,1.03,Nylon 12
132,NA,NA,1.66,NA,NA,140,1.66,PP
133,NA,NA,1.16,ASTM D792,NA,142,1.16,Cellulosic
134,NA,NA,5,ASTM D 792,NA,143,5,Nylon 6
135,1.44,1.48,NA,ASTM D-792,NA,144,1.46,Vinyl (PVC)
136,NA,NA,1.55,ISO 1183-87,NA,145,1.55,Polyethylene Terephthalate
137,NA,NA,0.918,NA,NA,146,0.918,LLDPE
138,1.31,1.35,NA,ASTM D-792,NA,147,1.33,Vinyl (PVC)
139,NA,NA,1.18,ASTM D792,NA,148,1.18,Thermoplastic Polyurethane
140,NA,NA,1.33,ASTM D792,NA,149,1.33,Nylon 66
141,NA,NA,1.2,ASTM D792,NA,150,1.2,Cellulosic
142,NA,NA,0.955,ISO 1183,NA,151,0.955,HDPE
143,1.37,1.41,NA,ISO R 1183,NA,154,1.39,Vinyl (PVC)
144,NA,NA,1.31,ASTM D792,NA,155,1.31,Polybutylene Terephthalate
145,NA,NA,1.67,ASTM D792,NA,156,1.67,Polyphenylene Sulfide (PPS)
