source,material,n,density,lower_conf,upper_conf
kooi_2019,PET,N/A,1.385,0.908172448,1.698874489
polymerdatabase.com,Poly(ethylene terephthalate),N/A,1.34,,
polymerdatabase.com,Poly(ethylene),N/A,0.85,,
Primpkeetal_2018,polyethylene,N/A,0.91,,
polymerdatabase.com,Poly(propylene),N/A,0.86,,
Primpkeetal_2018,polypropylene,N/A,0.92,,
polymerdatabase.com,Poly(tetrafluoroethylene),N/A,2.12,,
polymerdatabase.com,Poly(vinyl chloride),N/A,1.38,,
Primpkeetal_2018,polyvinylchloride,N/A,1.38,,
polymerdatabase.com,Poly(methyl methacrylate),N/A,1.15,,
polymerdatabase.com,Poly(butylene terephthalate),N/A,1.26,,
polymerdatabase.com,Poly(vinyl alcohol),N/A,1.29,,
Primpkeetal_2018,polycarbonate,N/A,1.21,,
Primpkeetal_2018,polyamide,N/A,1.22,,
kooi_2019,PVC,N/A,1.525,0.908172448,1.698874489
polymerdatabase.com,Nylon 6 - Poly(caprolactam),N/A,1.08,,
polymerdatabase.com,Nylon 11 - Poly(undecano-11-lactam),N/A,1.02,,
polymerdatabase.com,Nylon 12 - Poly(dodecano-12-lactam),N/A,1,,
polymerdatabase.com,"Nylon 4,6 - Poly(tetramethylene adipamide)",N/A,1.11,,
polymerdatabase.com,"Nylon 6,6 - Poly(hexamethylene adipamide)",N/A,1.08,,
polymerdatabase.com,"Nylon 6,10 - Poly(hexamethylene sebacamide)",N/A,1.04,,
polymerdatabase.com,"Nylon 6,12 - Poly(hexamethylene dodecanediamide)",N/A,1.06,,
polymerdatabase.com,Poly(vinylidene fluoride),N/A,1.68,,
polymerdatabase.com,PEEK - Poly(ether ether ketone),N/A,1.26,,
Primpkeetal_2018,polyethylenehigh-density,N/A,0.91,,
Primpkeetal_2018,polymethylmethacylate,N/A,1.2,,
Primpkeetal_2018,polyacticacid,N/A,1.3,,
Primpkeetal_2018,ethylene-vinyl-acetate,N/A,0.94,,
Primpkeetal_2018,polyphenyleneether,N/A,1.1,,
Primpkeetal_2018,polytetrafluorethylene,N/A,2.2,,
