Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns)
1.49,doi.org/10.1007/s11356-021-12898-7|1,effluent,0.7,5000
1.47,doi.org/10.1007/s11356-021-12898-7|2,effluent,0.7,5000
0.4,doi.org/10.1007/s11356-021-12898-7|4,effluent,0.7,5000
0.35,doi.org/10.1007/s11356-021-12898-7|5,effluent,0.7,5000
0.22,doi.org/10.1007/s11356-021-12898-7|6,effluent,0.7,5000
1.36,doi.org/10.1007/s11356-021-12898-7|3,effluent,0.7,5000
240,Dam5SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
145,Dam6SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
55,Dam1SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
60,Dam2SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
15,Dam3SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
10,Dam4SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
110,Dam5SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
85,Dam6SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
25,Dam6SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
20,Dam1SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
135,Dam4SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
165,Dam3SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
125,Dam2SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
63,Average|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000
36,James|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000
180,Roanoke|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000
17,Stroubles|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000
25,Dam1SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
45,Dam4SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
40,Dam2SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000
