Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns),Min Concentration (microns3/volume),Concentration (microns3/volume),Max Concentration (microns3/volume),Min Concentration (mg/volume),Concentration (mg/volume),Max Concentration (mg/volume),Alpha,Correction Factor,Corrected Concentration (particles/volume),Max Corrected Concentration (particles/volume),Min Corrected Concentration (particles/volume)
1.49,doi.org/10.1007/s11356-021-12898-7|1,effluent,0.7,5000,1177.338454,43654.90696,173922.4411,1.07E-06,4.61E-05,0.000196898,2.54,0.577365211,0.860274165,0.857211304,0.863347965
1.47,doi.org/10.1007/s11356-021-12898-7|2,effluent,0.7,5000,1177.338454,43654.90696,173922.4411,1.07E-06,4.61E-05,0.000196898,2.54,0.577365211,0.848726861,0.845705112,0.851759401
0.4,doi.org/10.1007/s11356-021-12898-7|4,effluent,0.7,5000,0.470935381,17.46196279,69.56897642,4.30E-10,1.84E-08,7.88E-08,2.54,0.577365211,0.230946085,0.23012384,0.231771266
0.35,doi.org/10.1007/s11356-021-12898-7|5,effluent,0.7,5000,0.412068459,15.27921744,60.87285437,3.76E-10,1.61E-08,6.89E-08,2.54,0.577365211,0.202077824,0.20135836,0.202799857
0.22,doi.org/10.1007/s11356-021-12898-7|6,effluent,0.7,5000,0.25901446,9.604079532,38.26293703,2.36E-10,1.01E-08,4.33E-08,2.54,0.577365211,0.127020347,0.126568112,0.127474196
1.36,doi.org/10.1007/s11356-021-12898-7|3,effluent,0.7,5000,1177.338454,43654.90696,173922.4411,1.07E-06,4.61E-05,0.000196898,2.54,0.577365211,0.785216688,0.782421056,0.788022303
240,Dam5SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,1.467501921,37.26783528,139.7293193,1.35E-09,4.45E-08,2.24E-07,3.25,0.165854842,39.80516202,34.20186394,46.32644896
145,Dam6SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.742042825,43.21254221,162.9125287,6.84E-10,5.08E-08,2.60E-07,3.25,0.165854842,24.04895205,20.66362613,27.98889625
55,Dam1SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.146853707,11.24609023,44.19979315,1.34E-10,1.26E-08,7.38E-08,3.25,0.165854842,9.122016296,7.837927153,10.61647789
60,Dam2SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.162501837,9.193424233,36.56944986,1.50E-10,9.97E-09,4.69E-08,3.25,0.165854842,9.951290505,8.550465985,11.58161224
15,Dam3SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.027299602,1.42899699,5.561365932,2.57E-11,1.69E-09,8.93E-09,3.25,0.165854842,2.487822626,2.137616496,2.89540306
10,Dam4SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.020101547,2.126140361,8.003301368,2.11E-11,2.91E-09,1.21E-08,3.25,0.165854842,1.658548418,1.425077664,1.930268707
110,Dam5SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.691538577,40.88421146,153.0944937,6.46E-10,4.95E-08,2.50E-07,3.25,0.165854842,18.24403259,15.67585431,21.23295577
85,Dam6SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.342767936,34.23870695,128.8340734,3.62E-10,4.76E-08,1.93E-07,3.25,0.165854842,14.09766155,12.11316015,16.40728401
25,Dam6SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.054169551,6.745644231,27.4934064,4.96E-11,7.19E-09,3.20E-08,3.25,0.165854842,4.146371044,3.56269416,4.825671766
20,Dam1SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.821451752,4.633996422,14.27373445,7.50E-10,5.85E-09,2.15E-08,3.25,0.165854842,3.317096835,2.850155328,3.860537413
135,Dam4SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,3.776555529,30.59296093,102.7701935,3.43E-09,3.45E-08,1.70E-07,3.25,0.165854842,22.39040364,19.23854847,26.05862754
165,Dam3SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.50529841,23.51695614,90.87500804,4.71E-10,2.77E-08,1.32E-07,3.25,0.165854842,27.36604889,23.51378146,31.84943366
125,Dam2SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.605235278,20.20367064,76.71310599,6.02E-10,2.39E-08,1.22E-07,3.25,0.165854842,20.73185522,17.8134708,24.12835883
63,Average|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000,738844648.5,12004923796,43943511277,0.673180126,13.75186208,71.89417865,3.25,1188862.471,74898335.65,243448474.3,23068420.72
36,James|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000,70774242.48,8253336619,32400304071,0.065866928,9.311222117,53.62140494,3.25,1188862.471,42799048.94,139113413.9,13181954.69
180,Roanoke|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000,4296453693,43397825596,1.48E+11,3.935502286,54.42233475,228.0940057,3.25,1188862.471,213995244.7,695567069.3,65909773.47
17,Stroubles|doi.org/10.1016/j.jwpe.2020.101640,freshwatersediment,500,5000,285303777.3,3056750926,10661377912,0.261683887,3.961751311,15.61844838,3.25,1188862.471,20210662,65692445.44,6224811.939
25,Dam1SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.054169551,6.745644231,27.4934064,4.96E-11,7.19E-09,3.20E-08,3.25,0.165854842,4.146371044,3.56269416,4.825671766
45,Dam4SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.893602013,11.62473708,42.3779114,8.13E-10,1.27E-08,5.68E-08,3.25,0.165854842,7.463467879,6.412849489,8.68620918
40,Dam2SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.875052641,10.80039842,39.26674148,8.00E-10,1.24E-08,4.98E-08,3.25,0.165854842,6.63419367,5.700310657,7.721074826
35,Dam3SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.095818849,9.148211617,36.35429978,9.06E-11,1.04E-08,5.83E-08,3.25,0.165854842,5.804919461,4.987771825,6.755940473
45,Dam5SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,freshwatersediment,0.45,5000,0.893602013,11.62473708,42.3779114,8.13E-10,1.27E-08,5.68E-08,3.25,0.165854842,7.463467879,6.412849489,8.68620918
0.98,average|doi.org/10.1016/j.marpolbul.2017.07.028,freshwatersurface,0.45,5000,0.170542945,5.224029207,20.56576452,1.56E-10,5.60E-09,2.41E-08,2.64,0.269940626,0.264541813,0.262437851,0.266662642
0.022,doi.org/10.5894/rgci194 | 3.6,freshwatersurface,4750,5000,24186433.99,375826888.7,1348691762,0.022164738,0.456817339,2.122471811,2.64,13274290.15,292034.3833,315988.0605,269906.5576
0,doi.org/10.5894/rgci194 | 1.6,freshwatersurface,4750,5000,0,0,0,0,0,0,2.64,13274290.15,0,0,0
0,doi.org/10.5894/rgci194 | 2.6,freshwatersurface,4750,5000,0,0,0,0,0,0,2.64,13274290.15,0,0,0
0.819,doi.org/10.5894/rgci194 | 3.2,freshwatersurface,4750,5000,900394974.3,13991010084,50208116067,0.825132729,17.00606368,79.01383696,2.64,13274290.15,10871643.63,11763373.71,10047885.03
0.115,doi.org/10.5894/rgci194 | 2.2,freshwatersurface,4750,5000,126429086.7,1964549645,7049979668,0.115861128,2.38790882,11.09473901,2.64,13274290.15,1526543.367,1651755.771,1410875.187
0.01,doi.org/10.5894/rgci194 | 1.2,freshwatersurface,4750,5000,10993833.63,170830404,613041710.2,0.010074881,0.207644245,0.964759914,2.64,13274290.15,132742.9015,143630.9366,122684.7989
0.004,doi.org/10.5894/rgci194 | 2.4,freshwatersurface,4750,5000,4397533.452,68332161.58,245216684.1,0.004029952,0.083057698,0.385903966,2.64,13274290.15,53097.16061,57452.37464,49073.91956
0.004,doi.org/10.5894/rgci194 | 3.4,freshwatersurface,4750,5000,4397533.452,68332161.58,245216684.1,0.004029952,0.083057698,0.385903966,2.64,13274290.15,53097.16061,57452.37464,49073.91956
0.002,doi.org/10.5894/rgci194 | 1.4,freshwatersurface,4750,5000,2198766.726,34166080.79,122608342,0.002014976,0.041528849,0.192951983,2.64,13274290.15,26548.5803,28726.18732,24536.95978
2.65483871,doi.org/10.1002/eap.2429|1.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,501353.8046,535706.8567,469220.2968
1.086046512,doi.org/10.1002/eap.2429|2.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,205094.7761,219147.9885,191949.5391
2.178947368,doi.org/10.1002/eap.2429|3.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,411483.9628,439679.0815,385110.5255
0.997058824,doi.org/10.1002/eap.2429|4.benthic,freshwatersurface,1130,1810,26618615.41,423478377.5,1522615666,0.024404539,0.515876434,2.395028347,2.64,188845.297,188289.8697,201191.6003,176221.7176
1.075510204,doi.org/10.1002/eap.2429|5.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,203105.0439,217021.9187,190087.3357
2.968421053,doi.org/10.1002/eap.2429|6.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,560572.3553,598983.0967,524643.3247
