Material,Morphology
plastic,cigarettebutts
cloth,clothing
cloth,cigarettefilters
cloth,cigarettefilters
cloth,cigarettefilters
cloth,cigarettefilters
cloth,cigarettefilters
cloth,cigarettefilters
cloth,clothing
cloth,cigarettefilters
cloth,cigarettefilters
glass,beveragebottles
glass,beveragebottles
glass,fragments(trash)
paper,wrappers
paper,fragments(trash)
paper,fragments(trash)
paper,cups
paper,napkins
paper,wrappers
paper,wrappers
paper,wrappers
paper,other
paper,wrappers
paper,other
paper,wrappers
paper,other
paper,wrappers
paper,paperornapkinsortissues
paper,other
paper,paperornapkinsortissues
paper,wrappers
paper,paperornapkinsortissues
paper,wrappers
paper,fragments(trash)
paper,fragments(trash)
paper,fragments(trash)
paper,other
paper,wrappers
paper,other
paper,other
paper,other
paper,other
paper,other
paper,other
paper,other
paper,wrappers
paper,wrappers
paper,other
paper,other
paper,wrappers
paper,paperornapkinsortissues
paper,other
paper,wrappers
paper,other
paper,paperornapkinsortissues
paper,paperornapkinsortissues
paper,wrappers
paper,fragments(trash)
paper,other
paper,paperornapkinsortissues
paper,paperornapkinsortissues
paper,wrappers
paper,other
paper,wrappers
paper,other
paper,paperornapkinsortissues
paper,fragments(trash)
paper,paperornapkinsortissues
paper,other
paper,other
paper,other
paper,other
paper,other
paper,other
paper,other
paper,fragments(trash)
paper,fragments(trash)
paper,fragments(trash)
paper,fragments(trash)
paper,receipts
paper,cigarettebutts
paper,cigarettebutts
paper,cigarettebutts
paper,cigarettebutts
paper,cigarettebutts
paper,cigarettebutts
paper,wrappers
paper,wrappers
paper,wrappers
plastic,other
plastic,containersortubes
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,bags
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,bags
plastic,wrappers
plastic,utensil
plastic,wrappers
plastic,beveragebottles
plastic,other
plastic,other
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,beveragebottles
plastic,wrappers
plastic,wrappers
plastic,cups
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,other
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,other
plastic,tape
plastic,other
plastic,wrappers
plastic,other
plastic,wrappers
plastic,wrappers
plastic,other
plastic,wrappers
plastic,bags
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,other
plastic,wrappers
plastic,wrappers
plastic,other
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,wrappers
plastic,bandages
plastic,containersortubes
plastic,containersortubes
plastic,other
plastic,food
plastic,"bolts,nails,andscrews"
plastic,packaging
wood,pensorpencils
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
plastic,other
metal,fragments(trash)
paper,paperornapkinsortissues
paper,fragments(trash)
paper,cigarettebutts
paper,cigarettebutts
paper,cigarettebutts
plastic,lids
plastic,wrappers
plastic,wrappers
plastic,straws
plastic,wrappers
plastic,wrappers
plastic,other
plastic,cups
plastic,cups
plastic,other
plastic,other
plastic,lids
plastic,other
plastic,wrappers
plastic,pensorpencils
plastic,packaging
glass,fragments(trash)
glass,fragments(trash)
glass,beveragebottles
metal,wrappers
metal,other
metal,wrappers
metal,other
metal,other
metal,beveragecans
metal,wrappers
metal,beveragecontainers
metal,wrappers
metal,wrappers
metal,wrappers
metal,wrappers
metal,wrappers
metal,foodwrappers
metal,wrappers
metal,wrappers
metal,foodwrappers
paper,napkins
paper,wrappers
paper,other
paper,wrappers
paper,wrappers
paper,wrappers
paper,wrappers
paper,other
paper,other
paper,wrappers
paper,receipts
paper,foodwrappers
paper,other
paper,receipts
paper,wrappers
paper,receipts
paper,foodwrappers
paper,fragments(trash)
paper,other
paper,paper
paper,napkins
paper,receipts
paper,wrappers
paper,receipts
paper,napkins
paper,wrappers
paper,fragments(trash)
paper,foodwrappers
paper,receipts
paper,other
paper,fragments(trash)
paper,foodwrappers
paper,wrappers
paper,other
paper,napkins
paper,other
paper,wrappers
paper,packaging
paper,other
paper,other
paper,other
paper,fragments(trash)
paper,other
paper,cardboard
paper,cigarettepackets
paper,wrappers
paper,wrappers
paper,paper
paper,cardboard
paper,napkins
paper,cardboard
paper,foodwrappers
paper,fragments(trash)
paper,other
paper,napkins
paper,cups
paper,receipts
paper,foodwrappers
paper,napkins
paper,packaging
paper,receipts
paper,packaging
paper,other
plastic,wrappers
plastic,wetwipes
plastic,cups
plastic,bags
plastic,other
plastic,cigarettebutts
plastic,other
plastic,fragments(trash)
plastic,other
plastic,toys
plastic,wrappers
plastic,other
plastic,foodwrappers
plastic,wrappers
plastic,fragments(trash)
plastic,other
plastic,bottlecaps
plastic,wrappers
plastic,foodwrappers
plastic,foodwrappers
plastic,foodwrappers
plastic,cups
plastic,beveragecontainers
plastic,straws
plastic,foodwrappers
plastic,bottlecaps
plastic,foodwrappers
plastic,foodwrappers
plastic,wrappers
plastic,other
plastic,wrappers
plastic,wetwipes
plastic,wetwipes
plastic,foodwrappers
plastic,cigarettepackets
plastic,foodwrappers
plastic,wetwipes
plastic,foodwrappers
plastic,lids
plastic,cups
plastic,wrappers
plastic,foodwrappers
plastic,cigarettebutts
