"Material","Morphology","Material (Raw Data)","Morphology (Raw Data)","Mass (mg)"
"plastic","cigarette butts","plastic","cigarettebutts",290
"cloth","clothing","cloth","clothing",82500
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","clothing","cloth","clothing",82500
"cloth","cigarette filters","cloth","cigarettefilters",290
"cloth","cigarette filters","cloth","cigarettefilters",290
"glass","beverage bottles","glass","beveragebottles",3e+05
"glass","beverage bottles","glass","beveragebottles",3e+05
"glass","fragments(trash)","glass","fragments(trash)",1050
"paper","wrappers","paper","wrappers",14610
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","cups","paper","cups",5050
"paper","napkins","paper","napkins",11900
"paper","wrappers","paper","wrappers",14610
"paper","wrappers","paper","wrappers",14610
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","other","paper","other",82500
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","wrappers","paper","wrappers",14610
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","wrappers","paper","wrappers",14610
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","wrappers","paper","wrappers",14610
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","other","paper","other",82500
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","wrappers","paper","wrappers",14610
"paper","other","paper","other",82500
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","paper OR napkins OR tissues","paper","paperornapkinsortissues",11900
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","other","paper","other",82500
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","fragments(trash)","paper","fragments(trash)",1050
"paper","receipts","paper","receipts",5000
"paper","cigarette butts","paper","cigarettebutts",290
"paper","cigarette butts","paper","cigarettebutts",290
"paper","cigarette butts","paper","cigarettebutts",290
"paper","cigarette butts","paper","cigarettebutts",290
"paper","cigarette butts","paper","cigarettebutts",290
"paper","cigarette butts","paper","cigarettebutts",290
"paper","wrappers","paper","wrappers",14610
"paper","wrappers","paper","wrappers",14610
"paper","wrappers","paper","wrappers",14610
"plastic","other","plastic","other",82500
"plastic","containers OR tubes","plastic","containersortubes",29800
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","bags","plastic","bags",8520
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","bags","plastic","bags",8520
"plastic","wrappers","plastic","wrappers",14610
"plastic","utensil","plastic","utensil",4260
"plastic","wrappers","plastic","wrappers",14610
"plastic","beverage bottles","plastic","beveragebottles",22970
"plastic","other","plastic","other",82500
"plastic","other","plastic","other",82500
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","beverage bottles","plastic","beveragebottles",22970
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","cups","plastic","cups",6000
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","other","plastic","other",82500
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
"plastic","other","plastic","other",82500
"plastic","tape","plastic","tape",14610
"plastic","other","plastic","other",82500
"plastic","wrappers","plastic","wrappers",14610
"plastic","other","plastic","other",82500
"plastic","wrappers","plastic","wrappers",14610
"plastic","wrappers","plastic","wrappers",14610
