Material,Alias,readable
abs,abs,ABS
abs,acrylonitrilebutadienestyrene,ABS
abs,acrylonitrilebutadienestyrene(abs),ABS
ar,ar,AR
asa,acrylonitrile-styrene-acrylate,ASA
asa,acrylonitrilestyreneacrylate,ASA
asa,asa,ASA
ca,ca,CA
ca,cellulose,CA
ca,celluloseacetate,CA
ca,semi-syntheticcellulose,CA
chlorinatedpe,chlorinatedPE,chlorinated PE
chlorinatedpe,chlorinatedpolyethylene,chlorinated PE
chlorinatedpe,polyethylene-chlorinated,chlorinated PE
chlorinatedpi,chlorinatedpi,chlorinated PI
chlorinatedpi,polyisoprene-chlorinated,chlorinated PI
ema,ema,EMA
ema,ethylenemethylacrylate,EMA
emaa,emaa,EMAA
emaa,ethylenemethacrylicacid,EMAA
epdmrubber(ethylenepropylenedienemonomerrubber),epdmrubber(ethylenepropylenedienemonomerrubber),EPDM rubber (ethylene propylene diene monomer rubber)
er,epoxyresin,ER
er,er,ER
etfe-ectfe,etfe-ectfe,ETFE-ECTFE
etfe-ectfe,ethylenetetrafluoroethlene-ethylenechlorotrifluoroethylene,ETFE-ECTFE
etfe-ectfe,ethylenetetrafluoroethlene/ethylenechlorotrifluoroethylene,ETFE-ECTFE
eva,ethylene-vinyl-acetate,EVA
eva,ethylenevinylacetate,EVA
eva,eva,EVA
hdpe,hdpe,HDPE
hdpe,high-densitypolyethylene,HDPE
hdpe,highdensitypolyethylene,HDPE
hdpe,polyethylenehigh-density,HDPE
lcp,lcp,LCP
lcp,liquid-crystalpolymer,LCP
lcp,liquidcrystalpolymer,LCP
ldpe,ldpe,LDPE
ldpe,low-densitypolyethylene,LDPE
ldpe,lowdensitypolyethylene,LDPE
lldpe,linearlow-densitypolyethylene,LLDPE
lldpe,linearlowdensitypolyethylene,LLDPE
lldpe,lldpe,LLDPE
oxidizedpe,oxidizedPE,oxidized PE
oxidizedpe,oxidizedpolyethylene,oxidized PE
oxidizedpe,polyethylene-oxidized,oxidized PE
pa,nylon,PA
pa,pa,PA
pa,pa/nylon,PA
pa,polyamide,PA
pa+er,pa;er,PA+ER
pa+er,pa/epoxyresin,PA+ER
pa+er,pa+er,PA+ER
paa,paa,PAA
paa,poly(acrylicacid),PAA
paa,polyacrylicacid,PAA
pai,pai,PAI
pai,poly(trimellitamideimide),PAI
pam,pam,PAM
pam,poly(acrylamide),PAM
pam,polyacrylamide,PAM
PAN,acrylic,PAN
pan,acrylonitrile,PAN
pan,pan,PAN
pan,poly(acrylonitrile),PAN
pan,polyacrylonitrile,PAN
pba,pba,PBA
pba,phenylbutricacid,PBA
pbt,pbt,PBT
pbt,poly(butyleneterephthalate),PBT
pbt,polybutyleneterephthalate,PBT
pc,pc,PC
pc,polycarbonate,PC
pcl,pcl,PCL
pcl,polycaprolactone,PCL
pdms,pdms,PDMS
pdms,poly(dimethylsiloxane)(pdms),PDMS
pdms,polydimethylsiloxane,PDMS
pe,pe,PE
pe,poly(ethylene),PE
pe,polyethylene,PE
pe+pp,cope-pp,PE+PP
pe+pp,pe+pp,PE+PP
pe+ps,pe+ps,PE+PS
pe+ps,polyethylene+polystyrene,PE+PS
peek,peek,PEEK
peek,peek-poly(etheretherketone),PEEK
peek,poly(etheretherketone),PEEK
peek,polyetheretherketone,PEEK
pei,pei,PEI
pei,polyetherimide,PEI
pek,pek,PEK
pek,pek-poly(etherketone),PEK
pek,poly(etherketone),PEK
pekk,pekk,PEKK
pekk,pekk-poly(etherketoneketone),PEKK
pekk,poly(etherketoneketone),PEKK
pest,pest,PEST
pest,polyester,PEST
pesu,pes,PESU
pesu,pesu,PESU
pesu,polyethersulfone,PESU
pet,pet,PET
pet,pete,PET
pet,poly(ethyleneterephthalate),PET
pet,polyethyleneterephthalate,PET
pet+olefin,pet+olefin,PET+olefin
pet+pest,pet-pest,PET+PEST
pet+pest,pet+pest,PET+PEST
peva,peva,PEVA
peva,polyethylene-vinylacetate,PEVA
pfa,perfluoroalkoxyalkane,PFA
pfa,pfa,PFA
pi,pi,PI
pi,polyimide,PI
pi,polyimides,PI
pithermoplastic,pithermoplastic,PI thermoplastic
pithermoplastic,"polyimide,thermoplastic",PI thermoplastic
pla,pla,PLA
pla,polyacticacid,PLA
pla,polylacticacid(pla),PLA
