"","Organization","ComparabilityItems","ComparabilityItemsEncompassingOthers","ComparabilityMaterials","ComparabilityMaterialsEncompassingOthers"
"1","10.1016/j.scitotenv.2019.134520",0.166666666666667,0.15,0.129124579124579,0.126388888888889
"2","10.1016/j.scitotenv.2021.148001",0.191666666666667,0.233333333333333,0.216666666666667,0.245833333333333
"3","10.3389/fchem.2018.00407",0.233333333333333,0.288888888888889,0.180976430976431,0.180555555555556
"4","10.3390/w12113115",0.1875,0.166666666666667,0,0
"5","doi.org/10.1007/s11356-021-12898-7",0.380555555555556,0.315277777777778,0,0
"6","doi.org/10.1016/j.envpol.2018.06.033",0.257275132275132,0.513888888888889,0,0
"7","doi.org/10.1016/j.jwpe.2020.101640",0.347619047619048,0.491666666666667,0.149158249158249,0.15
"8","doi.org/10.1016/j.marpolbul.2017.07.028",0.380555555555556,0.315277777777778,0,0
"9","doi.org/10.1021/acs.est.9b04896",0.41984126984127,0.463888888888889,0,0
"10","doi.org/10.1021/es503610r",0.295767195767196,0.505555555555556,0,0
"11","doi.org/10.3389/frans.2022.857694",0.41984126984127,0.463888888888889,0,0
"12","doi.org/10.5203/pmuser.201730578",0.380555555555556,0.315277777777778,0,0
"13","http://dce2.au.dk/pub/SR291.pdf ",0.215277777777778,0.194444444444444,0.142592592592593,0.125
"14","embedding_match_1",0.7392,0.7392,0.8116,0.8116
"15","embedding_match_5",0.8905,0.8905,0.9273,0.9273
