sample_ID,material,particle/m2,correction factor,corrected_range,corrected concentration,mass_min,mass_mean,mass_max,reported_mg/m2_min,reported_mg/m2_mean,reported_mg/m2_max,corrected_mg/m2_min,corrected_mg/m2_mean,corrected_mg/m2_max
curb_2-20um,glass,2.35E+08,1.688714,1-20 um,3.97E+08,4.03E-09,0.000000356,0.000000707,9.47E-01,8.37E+01,1.66E+02,1.60E+00,1.41E+02,2.81E+02
curb_2-20um,metallic,1.21E+10,1.688714,1-20 um,2.04E+10,2.06E-08,2.79E-08,0.00000361,2.49E+02,3.38E+02,4.37E+04,4.21E+02,5.70E+02,7.38E+04
curb_2-20um,organic,1.29E+10,1.688714,1-20 um,2.18E+10,1.07E-09,1.47E-09,0.000000188,1.38E+01,1.90E+01,2.43E+03,2.33E+01,3.20E+01,4.10E+03
curb_2-20um,paint,9.71E+09,1.688714,1-20 um,1.64E+10,3.95E-09,5.21E-09,0.000000693,3.84E+01,5.06E+01,6.73E+03,6.48E+01,8.54E+01,1.14E+04
curb_2-20um,tire wear & asphalt,1.94E+11,1.688714,1-20 um,3.28E+11,5.46E-09,7.44E-09,0.000000959,1.06E+03,1.44E+03,1.86E+05,1.79E+03,2.44E+03,3.14E+05
curb_2-20um,mineral,8.02E+11,1.688714,1-20 um,1.35E+12,7.83E-09,1.06E-08,0.00000137,6.28E+03,8.50E+03,1.10E+06,1.06E+04,1.44E+04,1.86E+06
curb_2-20um,all,1.03E+12,1.688714,1-20 um,1.74E+12,7.15667E-09,6.81033E-08,1.2545E-06,7.37E+03,7.01E+04,1.29E+06,1.24E+04,1.18E+05,2.18E+06
wheeltracks_2-20um,glass,0.00E+00,1.688714,1-20 um,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
wheeltracks_2-20um,metallic,2.26E+08,1.688714,1-20 um,3.82E+08,1.87E-08,2.63E-08,0.0000033,4.23E+00,5.94E+00,7.46E+02,7.14E+00,1.00E+01,1.26E+03
wheeltracks_2-20um,organic,1.56E+08,1.688714,1-20 um,2.63E+08,1.01E-09,1.43E-09,0.000000179,1.58E-01,2.23E-01,2.79E+01,2.66E-01,3.77E-01,4.72E+01
wheeltracks_2-20um,paint,9.96E+07,1.688714,1-20 um,1.68E+08,3.14E-09,4.48E-09,0.000000555,3.13E-01,4.46E-01,5.53E+01,5.28E-01,7.54E-01,9.33E+01
wheeltracks_2-20um,tire wear & asphalt,2.48E+09,1.688714,1-20 um,4.19E+09,5.49E-09,7.46E-09,0.000000969,1.36E+01,1.85E+01,2.40E+03,2.30E+01,3.12E+01,4.06E+03
wheeltracks_2-20um,mineral,1.63E+10,1.688714,1-20 um,2.75E+10,7.78E-09,1.06E-08,0.00000137,1.27E+02,1.73E+02,2.23E+04,2.14E+02,2.92E+02,3.77E+04
wheeltracks_2-20um,all,19261600000,1.688714,1-20 um,3.25E+10,6.02E-09,8.37833E-09,1.06217E-06,1.16E+02,1.61E+02,2.05E+04,1.96E+02,2.73E+02,3.45E+04
curb_20-125um,glass,0.00E+00,1.444707,20-5000 um,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
curb_20-125um,metallic,4.22E+07,1.444707,20-5000 um,6.10E+07,0.00000728,0.00000279,0.00131,3.07E+02,1.18E+02,5.53E+04,4.44E+02,1.70E+02,7.99E+04
curb_20-125um,organic,5.24E+08,1.444707,20-5000 um,7.57E+08,0.000000386,0.000000149,0.0000695,2.02E+02,7.81E+01,3.64E+04,2.92E+02,1.13E+02,5.26E+04
curb_20-125um,paint,6.40E+07,1.444707,20-5000 um,9.25E+07,0.00000138,0.000000525,0.000248,8.83E+01,3.36E+01,1.59E+04,1.28E+02,4.85E+01,2.29E+04
