material,items,weight_estimate_g
plastic,cigarettebutts,0.29
cloth,clothing,82.5
cloth,cigarettefilters,0.29
cloth,cigarettefilters,0.29
cloth,cigarettefilters,0.29
cloth,cigarettefilters,0.29
cloth,cigarettefilters,0.29
cloth,cigarettefilters,0.29
cloth,clothing,82.5
cloth,cigarettefilters,0.29
cloth,cigarettefilters,0.29
glass,beveragebottles,22.97
glass,beveragebottles,22.97
glass,fragments(trash),1.05
paper,wrappers,14.61
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,cups,5.05
paper,napkins,11.9
paper,wrappers,14.61
paper,wrappers,14.61
paper,wrappers,14.61
paper,other,82.5
paper,wrappers,14.61
paper,other,82.5
paper,wrappers,14.61
paper,other,82.5
paper,wrappers,14.61
paper,paperornapkinsortissues,11.9
paper,other,82.5
paper,paperornapkinsortissues,11.9
paper,wrappers,14.61
paper,paperornapkinsortissues,11.9
paper,wrappers,14.61
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,other,82.5
paper,wrappers,14.61
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,wrappers,14.61
paper,wrappers,14.61
paper,other,82.5
paper,other,82.5
paper,wrappers,14.61
paper,paperornapkinsortissues,11.9
paper,other,82.5
paper,wrappers,14.61
paper,other,82.5
paper,paperornapkinsortissues,11.9
paper,paperornapkinsortissues,11.9
paper,wrappers,14.61
paper,fragments(trash),1.05
paper,other,82.5
paper,paperornapkinsortissues,11.9
paper,paperornapkinsortissues,11.9
paper,wrappers,14.61
paper,other,82.5
paper,wrappers,14.61
paper,other,82.5
paper,paperornapkinsortissues,11.9
paper,fragments(trash),1.05
paper,paperornapkinsortissues,11.9
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,other,82.5
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,receipts,5
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,wrappers,14.61
paper,wrappers,14.61
paper,wrappers,14.61
plastic,other,82.5
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,wrappers,14.61
plastic,utensil,4.26
plastic,wrappers,14.61
plastic,beveragebottles,22.97
plastic,other,82.5
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,beveragebottles,22.97
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,cups,6
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,other,82.5
plastic,tape,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,bags,8.52
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bandages,82.5
plastic,containersortubes,29.8
plastic,containersortubes,29.8
plastic,other,82.5
plastic,food,29
plastic,"bolts,nails,andscrews",82.5
plastic,packaging,82.5
wood,pensorpencils,82.5
plastic,other,82.5
plastic,other,82.5
