Source,concentration
Drinking Water Reported,2649
Drinking Water Reported,4889
Drinking Water Reported,6292
Drinking Water Reported,443
Drinking Water Reported,338
Drinking Water Reported,628
Drinking Water Reported,7.00E-04
Drinking Water Reported,18
Drinking Water Reported,0.59
Drinking Water Reported,0.7
Drinking Water Reported,315
Drinking Water Reported,10.4
Drinking Water Reported,3074
Drinking Water Reported,0.33
Drinking Water Reported,2649
Drinking Water Reported,4889
Drinking Water Reported,6292
Drinking Water Reported,1473
Drinking Water Reported,1812
Drinking Water Reported,3605
Drinking Water Reported,440
Drinking Water Reported,6614
Drinking Water Reported,930
Drinking Water Reported,2.8
Drinking Water Reported,17
Drinking Water Reported,12
Drinking Water Reported,180
Drinking Water Reported,125
Drinking Water Reported,0
Drinking Water Reported,249
Drinking Water Reported,872
Drinking Water Reported,249
Drinking Water Reported,374
Drinking Water Reported,499
Drinking Water Reported,249
Drinking Water Reported,499
Drinking Water Reported,374
Drinking Water Reported,249
Drinking Water Reported,249
Drinking Water Reported,249
Drinking Water Reported,374
Drinking Water Reported,748
Drinking Water Reported,374
Drinking Water Reported,1247
Drinking Water Reported,623
Drinking Water Reported,499
Drinking Water Reported,374
Drinking Water Reported,125
Drinking Water Reported,499
Drinking Water Reported,249
Drinking Water Reported,499
Drinking Water Reported,249
Drinking Water Reported,0
Drinking Water Reported,1247
Drinking Water Reported,374
Drinking Water Reported,623
Drinking Water Reported,499
Drinking Water Reported,499
Drinking Water Reported,374
Drinking Water Reported,748
Drinking Water Reported,623
Drinking Water Reported,249
Drinking Water Reported,374
Drinking Water Reported,249
Drinking Water Reported,748
Drinking Water Reported,282
Drinking Water Reported,267
Drinking Water Reported,338
Drinking Water Reported,321
Drinking Water Reported,388
Drinking Water Reported,381
Drinking Water Reported,400
Drinking Water Reported,405
Drinking Water Reported,0.2
Drinking Water Reported,20
Drinking Water Reported,13
Drinking Water Reported,17
Drinking Water Reported,14
Drinking Water Reported,60
Drinking Water Reported,13
Drinking Water Reported,15
Drinking Water Reported,18
Drinking Water Reported,37
Drinking Water Reported,34
Drinking Water Reported,38
Drinking Water Reported,60
Drinking Water Reported,7
Drinking Water Reported,25
Drinking Water Reported,22
Drinking Water Reported,15
Drinking Water Reported,7
Drinking Water Reported,37
Drinking Water Reported,9
Drinking Water Reported,6
Drinking Water Reported,7
Drinking Water Reported,8
Drinking Water Reported,14
Drinking Water Reported,8
Drinking Water Reported,8
Drinking Water Reported,7
Drinking Water Reported,13
Drinking Water Reported,8
Drinking Water Reported,6
Drinking Water Reported,10
Drinking Water Reported,23
Drinking Water Reported,15
Drinking Water Reported,13
Drinking Water Reported,9
Drinking Water Reported,10
Drinking Water Reported,28
Drinking Water Reported,5
Drinking Water Reported,8
Drinking Water Reported,10
Drinking Water Reported,7
Drinking Water Reported,7
Drinking Water Reported,91
Drinking Water Reported,930
Drinking Water Reported,10
Drinking Water Reported,34
Drinking Water Reported,36
Drinking Water Reported,44
Drinking Water Reported,28
Drinking Water Reported,10
Drinking Water Reported,14
Drinking Water Reported,8
Drinking Water Reported,4
Drinking Water Reported,12
Drinking Water Reported,18
Drinking Water Reported,10
Drinking Water Reported,24
Drinking Water Reported,28
Drinking Water Reported,14
Drinking Water Reported,14
Drinking Water Reported,32
Drinking Water Reported,6
Drinking Water Reported,6
Drinking Water Reported,10
Drinking Water Reported,4
Drinking Water Reported,44
Drinking Water Reported,16
Drinking Water Reported,30.57
Drinking Water Reported,3
Drinking Water Reported,6
Drinking Water Reported,5
Drinking Water Reported,5
Drinking Water Reported,5
Drinking Water Reported,5
Drinking Water Reported,2
Drinking Water Reported,610
Drinking Water Reported,1042.6
Drinking Water Reported,560
Drinking Water Reported,1186
Drinking Water Reported,1489
Drinking Water Reported,100.4
Drinking Water Reported,353.2
Drinking Water Reported,1721.2
Drinking Water Reported,650
Drinking Water Reported,271.2
Drinking Water Reported,200.5
Drinking Water Reported,200.5
Drinking Water Reported,62.7
Drinking Water Reported,774.1
Drinking Water Reported,200.8
Drinking Water Reported,280.6
Drinking Water Reported,260.4
Drinking Water Reported,200
Drinking Water Reported,180.1
Drinking Water Reported,200.1
Drinking Water Reported,90
Drinking Water Reported,394.1
Drinking Water Reported,1092.3
Drinking Water Reported,2030
Drinking Water Reported,451.3
Drinking Water Reported,1042
Drinking Water Reported,504.1
Drinking Water Reported,300
Drinking Water Reported,252
Drinking Water Reported,552.4
Drinking Water Reported,413.2
Drinking Water Reported,230
Drinking Water Reported,232
Drinking Water Reported,276.4
Drinking Water Reported,140
Drinking Water Reported,161.5
