DOI,Sample_ID,Subsample_ID,cleaned_material,material,material_ratio,Source,normalized_particle.L_concentration,corrected_concentration,material_particle.L_reported,material_particle.L_corrected
10.1016/j.watres.2017.11.011,1|10.1016/j.watres.2017.11.011,N/A,PEST,PEST,0.59,drinkingwater,14,28.42,8.26,16.7678
10.1016/j.watres.2017.11.011,2|10.1016/j.watres.2017.11.011,N/A,PEST,PEST,0.84,drinkingwater,118,239.54,99.12,201.2136
10.1016/j.watres.2017.11.011,3|10.1016/j.watres.2017.11.011,N/A,PEST,PEST,0.41,drinkingwater,50,101.5,20.5,41.615
10.1016/j.watres.2017.11.011,4|10.1016/j.watres.2017.11.011,N/A,PEST,PEST,0.32,drinkingwater,11,22.33,3.52,7.1456
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,37.1,48.23,2.226,2.8938
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,705,916.5,42.3,54.99
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,404,525.2,24.24,31.512
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,252,327.6,15.12,19.656
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,174,226.2,10.44,13.572
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,826,1073.8,49.56,64.428
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,213,276.9,12.78,16.614
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,3.72,4.836,0.2232,0.29016
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,165,214.5,9.9,12.87
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,74.6,96.98,4.476,5.8188
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,686,891.8,41.16,53.508
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,20,26,1.2,1.56
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,37.3,48.49,2.238,2.9094
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,197,256.1,11.82,15.366
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,58.2,75.66,3.492,4.5396
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,1410,1833,84.6,109.98
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,204,265.2,12.24,15.912
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,40.1,52.13,2.406,3.1278
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,12.5,16.25,0.75,0.975
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,150,195,9,11.7
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,2277,2960.1,136.62,177.606
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,PEST,PEST,0.06,drinkingwater,49.3,64.09,2.958,3.8454
