material,material_raw,count
PEST,PEST,8.26
PEST,PEST,99.12
PEST,PEST,20.5
PEST,PEST,3.52
PEST,PEST,2.226
PEST,PEST,42.3
PEST,PEST,24.24
PEST,PEST,15.12
PEST,PEST,10.44
PEST,PEST,49.56
PEST,PEST,12.78
PEST,PEST,0.2232
PEST,PEST,9.9
PEST,PEST,4.476
PEST,PEST,41.16
PEST,PEST,1.2
PEST,PEST,2.238
PEST,PEST,11.82
PEST,PEST,3.492
PEST,PEST,84.6
PEST,PEST,12.24
PEST,PEST,2.406
PEST,PEST,0.75
PEST,PEST,9
PEST,PEST,136.62
PEST,PEST,2.958
PEST,PEST,28.08
PEST,PEST,1.818
PEST,PEST,9.36
PEST,PEST,4.002
PEST,PEST,4.026
PE,PE,1.26
PE,PE,5.9
PE,PE,17.5
PE,PE,4.18
PE,PE,3.71
PE,PE,70.5
PE,PE,40.4
PE,PE,25.2
PE,PE,17.4
PE,PE,82.6
PE,PE,21.3
PE,PE,0.372
PE,PE,16.5
PE,PE,7.46
PE,PE,68.6
PE,PE,2
PE,PE,3.73
PE,PE,19.7
PE,PE,5.82
PE,PE,141
PE,PE,20.4
PE,PE,4.01
PE,PE,1.25
PE,PE,15
PE,PE,227.7
PE,PE,4.93
PE,PE,46.8
PE,PE,3.03
PE,PE,15.6
PE,PE,6.67
PE,PE,6.71
PE,PE,53.16
PE,PE,40.56
PE,PE,75.36
PE,PE,610
PE,PE,1186
PE,PE,353.2
PE,PE,271.2
PE,PE,62.7
PE,PE,280.6
PE,PE,180.1
PE,PE,0.000434
PE,PE,18.543
PE,PE,34.223
PE,PE,44.044
PE,PE,117.84
PE,PE,144.96
PE,PE,288.4
PE,PE,117.48
PE,PE,33.88
PE,PE,12.584
PE,PE,13.552
PE,PE,3.388
PE,PE,3.146
PE,PE,1.452
PE,PE,33.375
PE,PE,0
PE,PE,66.483
PE,PE,232.824
PE,PE,66.483
PE,PE,99.858
PE,PE,133.233
PE,PE,66.483
PE,PE,133.233
PE,PE,99.858
PE,PE,66.483
PE,PE,66.483
PE,PE,66.483
PE,PE,99.858
PE,PE,199.716
PE,PE,99.858
PE,PE,332.949
PE,PE,166.341
PE,PE,133.233
PE,PE,99.858
PE,PE,33.375
PE,PE,133.233
PE,PE,66.483
PE,PE,133.233
PE,PE,66.483
PE,PE,0
PE,PE,332.949
PE,PE,99.858
PE,PE,166.341
PE,PE,133.233
PE,PE,133.233
PE,PE,99.858
PE,PE,199.716
PE,PE,166.341
PE,PE,66.483
PE,PE,99.858
PE,PE,66.483
PE,PE,199.716
PE,PE,125.1345532
PE,PE,0.0176
PE,PE,0.02244
PE,PE,0.02244
PE,PE,0.0242
PE,PE,0.0264
PE,PE,0.02662
PE,PE,0.02772
PE,PE,0.033
PE,PE,0.02464
PE,PE,0.0264
PE,PE,0.01716
PE,PE,0.01584
PE,PE,0.033
PE,PE,0.02376
PP,PP,0.02
PP,PP,0.019
PP,PP,0.14
PP,PP,8.26
PP,PP,4
PP,PP,2.86
PP,PP,20.034
PP,PP,380.7
PP,PP,218.16
PP,PP,136.08
PP,PP,93.96
PP,PP,446.04
PP,PP,115.02
PP,PP,2.0088
PP,PP,89.1
PP,PP,40.284
PP,PP,370.44
PP,PP,10.8
PP,PP,20.142
PP,PP,106.38
PP,PP,31.428
PP,PP,761.4
PP,PP,110.16
PP,PP,21.654
PP,PP,6.75
PP,PP,81
PP,PP,1229.58
PP,PP,26.622
PP,PP,252.72
PP,PP,16.362
PP,PP,84.24
PP,PP,36.018
PP,PP,36.234
PP,PP,101.89
PP,PP,77.74
PP,PP,144.44
PP,PP,1042.6
PP,PP,1489
PP,PP,1721.2
PP,PP,200.5
PP,PP,774.1
PP,PP,260.4
PP,PP,200.1
PP,PP,0.295
PP,PP,170.1
PP,PP,5.616
PP,PP,264.9
PP,PP,488.9
PP,PP,629.2
PP,PP,294.6
PP,PP,362.4
PP,PP,721
PP,PP,107.36
PP,PP,25.34
PP,PP,9.412
PP,PP,10.136
PP,PP,2.534
PP,PP,2.353
PP,PP,1.086
PP,PP,30.5
PP,PP,0
PP,PP,60.756
PP,PP,212.768
PP,PP,60.756
PP,PP,91.256
PP,PP,121.756
PP,PP,60.756
PP,PP,121.756
PP,PP,91.256
PP,PP,60.756
PP,PP,60.756
PP,PP,60.756
PP,PP,91.256
PP,PP,182.512
PP,PP,91.256
PP,PP,304.268
PP,PP,152.012
PP,PP,121.756
PP,PP,91.256
PP,PP,30.5
PP,PP,121.756
PP,PP,60.756
PP,PP,121.756
PP,PP,60.756
PP,PP,0
PP,PP,304.268
PP,PP,91.256
PP,PP,152.012
PP,PP,121.756
PP,PP,121.756
PP,PP,91.256
PP,PP,182.512
PP,PP,152.012
PP,PP,60.756
PP,PP,91.256
PP,PP,60.756
PP,PP,182.512
PP,PP,0.0068
PP,PP,0.00867
PP,PP,0.00867
PP,PP,0.00935
PP,PP,0.0102
PP,PP,0.010285
PP,PP,0.01071
PP,PP,0.01275
PP,PP,0.00952
PP,PP,0.0102
PP,PP,0.00663
PP,PP,0.00612
PP,PP,0.01275
PP,PP,0.00918
PA,PA,0.14
PA,PA,2.36
PA,PA,5.936
PA,PA,112.8
PA,PA,64.64
PA,PA,40.32
PA,PA,27.84
PA,PA,132.16
PA,PA,34.08
PA,PA,0.5952
PA,PA,26.4
PA,PA,11.936
PA,PA,109.76
PA,PA,3.2
PA,PA,5.968
PA,PA,31.52
PA,PA,9.312
PA,PA,225.6
PA,PA,32.64
PA,PA,6.416
PA,PA,2
PA,PA,24
PA,PA,364.32
PA,PA,7.888
PA,PA,74.88
PA,PA,4.848
PA,PA,24.96
PA,PA,10.672
PA,PA,10.736
PA,PA,394.1
PA,PA,451.3
PA,PA,300
PA,PA,413.2
PA,PA,276.4
PA,PA,150.3
PA,PA,160
PA,PA,4.20E-05
PA,PA,50.4
PA,PA,1.664
PA,PA,10.08
PA,PA,3.744
PA,PA,4.032
PA,PA,1.008
PA,PA,0.936
PA,PA,0.432
PA,PA,112.1205601
PA,PA,0.004
PA,PA,0.0051
PA,PA,0.0051
PA,PA,0.0055
PA,PA,0.006
PA,PA,0.00605
PA,PA,0.0063
PA,PA,0.0075
PA,PA,0.0056
PA,PA,0.006
PA,PA,0.0039
PA,PA,0.0036
PA,PA,0.0075
PA,PA,0.0054
PE+PS,PE_PS,96.8
PS,PS,0.018
PS,PS,4.081
PS,PS,77.55
PS,PS,44.44
PS,PS,27.72
PS,PS,19.14
PS,PS,90.86
PS,PS,23.43
PS,PS,0.4092
PS,PS,18.15
PS,PS,8.206
PS,PS,75.46
PS,PS,2.2
PS,PS,4.103
PS,PS,21.67
PS,PS,6.402
PS,PS,155.1
PS,PS,22.44
PS,PS,4.411
PS,PS,1.375
PS,PS,16.5
PS,PS,250.47
PS,PS,5.423
PS,PS,51.48
PS,PS,3.333
PS,PS,17.16
PS,PS,7.337
PS,PS,7.381
PS,PS,0.1475
PS,PS,73.65
PS,PS,90.6
PS,PS,180.25
PS,PS,28.6
PS,PS,8.125
PS,PS,0
PS,PS,16.185
PS,PS,56.68
PS,PS,16.185
PS,PS,24.31
PS,PS,32.435
PS,PS,16.185
PS,PS,32.435
PS,PS,24.31
PS,PS,16.185
PS,PS,16.185
PS,PS,16.185
PS,PS,24.31
PS,PS,48.62
PS,PS,24.31
PS,PS,81.055
PS,PS,40.495
PS,PS,32.435
PS,PS,24.31
PS,PS,8.125
PS,PS,32.435
PS,PS,16.185
PS,PS,32.435
PS,PS,16.185
PS,PS,0
PS,PS,81.055
PS,PS,24.31
PS,PS,40.495
PS,PS,32.435
PS,PS,32.435
PS,PS,24.31
PS,PS,48.62
PS,PS,40.495
PS,PS,16.185
PS,PS,24.31
PS,PS,16.185
PS,PS,48.62
