DOI,Sample_ID,Subsample_ID,cleaned_morphology,morphology,morph_ratio,Source,normalized_particle.L_concentration,corrected_concentration,morph_particle.L_reported,morph_particle.L_corrected
http://dce2.au.dk/pub/SR291.pdf ,1|http://dce2.au.dk/pub/SR291.pdf ,1a|http://dce2.au.dk/pub/SR291.pdf ,Fragment,Fragment,0.1,drinkingwater,0.58,4.0484,0.058,0.40484
http://dce2.au.dk/pub/SR291.pdf ,1|http://dce2.au.dk/pub/SR291.pdf ,1b|http://dce2.au.dk/pub/SR291.pdf ,Fragment,Fragment,0.28,drinkingwater,0.36,2.5128,0.1008,0.703584
http://dce2.au.dk/pub/SR291.pdf ,2|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.06,drinkingwater,0.32,2.2336,0.0192,0.134016
http://dce2.au.dk/pub/SR291.pdf ,4|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.07,drinkingwater,0.26,1.8148,0.0182,0.127036
http://dce2.au.dk/pub/SR291.pdf ,5|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.14,drinkingwater,0.14,0.9772,0.0196,0.136808
http://dce2.au.dk/pub/SR291.pdf ,6|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.1,drinkingwater,0.22,1.5356,0.022,0.15356
http://dce2.au.dk/pub/SR291.pdf ,8|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.23,drinkingwater,0.6,4.188,0.138,0.96324
http://dce2.au.dk/pub/SR291.pdf ,9|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.08,drinkingwater,0.24,1.6752,0.0192,0.134016
http://dce2.au.dk/pub/SR291.pdf ,12|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.26,drinkingwater,0.54,3.7692,0.1404,0.979992
http://dce2.au.dk/pub/SR291.pdf ,15|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.26,drinkingwater,0.38,2.6524,0.0988,0.689624
http://dce2.au.dk/pub/SR291.pdf ,16|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.3,drinkingwater,0.34,2.3732,0.102,0.71196
http://dce2.au.dk/pub/SR291.pdf ,17|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fragment,Fragment,0.08,drinkingwater,0.26,1.8148,0.0208,0.145184
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,37.1,48.23,24.115,31.3495
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,705,916.5,458.25,595.725
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,404,525.2,262.6,341.38
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,252,327.6,163.8,212.94
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,174,226.2,113.1,147.03
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,826,1073.8,536.9,697.97
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,213,276.9,138.45,179.985
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,3.72,4.836,2.418,3.1434
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,165,214.5,107.25,139.425
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,74.6,96.98,48.49,63.037
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,686,891.8,445.9,579.67
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,20,26,13,16.9
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,37.3,48.49,24.245,31.5185
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,197,256.1,128.05,166.465
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,58.2,75.66,37.83,49.179
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,1410,1833,916.5,1191.45
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,204,265.2,132.6,172.38
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,40.1,52.13,26.065,33.8845
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,12.5,16.25,8.125,10.5625
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,150,195,97.5,126.75
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,2277,2960.1,1480.05,1924.065
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,49.3,64.09,32.045,41.6585
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,468,608.4,304.2,395.46
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,30.3,39.39,19.695,25.6035
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,156,202.8,101.4,131.82
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,66.7,86.71,43.355,56.3615
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,N/A,Fragment,Fragment,0.65,drinkingwater,67.1,87.23,43.615,56.6995
10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,N/A,Fragment,Fragment,0.24516129,drinkingwater,930,353.4,227.9999997,86.63999989
10.1016/j.scitotenv.2021.148001,TCQS|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.4,0.4,0.03088,0.03088
10.1016/j.scitotenv.2021.148001,SHN|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.51,0.51,0.039372,0.039372
10.1016/j.scitotenv.2021.148001,CHQ|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.51,0.51,0.039372,0.039372
10.1016/j.scitotenv.2021.148001,CHH|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.55,0.55,0.04246,0.04246
10.1016/j.scitotenv.2021.148001,ZHB|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.6,0.6,0.04632,0.04632
10.1016/j.scitotenv.2021.148001,DAS|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.605,0.605,0.046706,0.046706
10.1016/j.scitotenv.2021.148001,XHS|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.63,0.63,0.048636,0.048636
10.1016/j.scitotenv.2021.148001,HNZ|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.75,0.75,0.0579,0.0579
10.1016/j.scitotenv.2021.148001,TCH|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.56,0.56,0.043232,0.043232
10.1016/j.scitotenv.2021.148001,WHH|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.6,0.6,0.04632,0.04632
10.1016/j.scitotenv.2021.148001,Spr|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.39,0.39,0.030108,0.030108
10.1016/j.scitotenv.2021.148001,Sum|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.36,0.36,0.027792,0.027792
