items,items_raw,count
Fragment,Fragment,0.058
Fragment,Fragment,0.1008
Fragment,Fragment,0.0192
Fragment,Fragment,0.0182
Fragment,Fragment,0.0196
Fragment,Fragment,0.022
Fragment,Fragment,0.138
Fragment,Fragment,0.0192
Fragment,Fragment,0.1404
Fragment,Fragment,0.0988
Fragment,Fragment,0.102
Fragment,Fragment,0.0208
Fragment,Fragment,24.115
Fragment,Fragment,458.25
Fragment,Fragment,262.6
Fragment,Fragment,163.8
Fragment,Fragment,113.1
Fragment,Fragment,536.9
Fragment,Fragment,138.45
Fragment,Fragment,2.418
Fragment,Fragment,107.25
Fragment,Fragment,48.49
Fragment,Fragment,445.9
Fragment,Fragment,13
Fragment,Fragment,24.245
Fragment,Fragment,128.05
Fragment,Fragment,37.83
Fragment,Fragment,916.5
Fragment,Fragment,132.6
Fragment,Fragment,26.065
Fragment,Fragment,8.125
Fragment,Fragment,97.5
Fragment,Fragment,1480.05
Fragment,Fragment,32.045
Fragment,Fragment,304.2
Fragment,Fragment,19.695
Fragment,Fragment,101.4
Fragment,Fragment,43.355
Fragment,Fragment,43.615
Fragment,Fragment,227.9999997
Fragment,Fragment,0.03088
Fragment,Fragment,0.039372
Fragment,Fragment,0.039372
Fragment,Fragment,0.04246
Fragment,Fragment,0.04632
Fragment,Fragment,0.046706
Fragment,Fragment,0.048636
Fragment,Fragment,0.0579
Fragment,Fragment,0.043232
Fragment,Fragment,0.04632
Fragment,Fragment,0.030108
Fragment,Fragment,0.027792
Fragment,Fragment,0.0579
Fragment,Fragment,0.041688
Fiber,Fiber,0.4988
Fiber,Fiber,0.2592
Fiber,Fiber,0.2496
Fiber,Fiber,0.24
Fiber,Fiber,0.1612
Fiber,Fiber,0.1204
Fiber,Fiber,0.198
Fiber,Fiber,0.2
Fiber,Fiber,0.402
Fiber,Fiber,0.2016
Fiber,Fiber,0.26
Fiber,Fiber,0.22
Fiber,Fiber,0.3996
Fiber,Fiber,0.18
Fiber,Fiber,0.08
Fiber,Fiber,0.2812
Fiber,Fiber,0.238
Fiber,Fiber,0.2392
Fiber,Fiber,4.823
Fiber,Fiber,91.65
Fiber,Fiber,52.52
Fiber,Fiber,32.76
Fiber,Fiber,22.62
Fiber,Fiber,107.38
Fiber,Fiber,27.69
Fiber,Fiber,0.4836
Fiber,Fiber,21.45
Fiber,Fiber,9.698
Fiber,Fiber,89.18
Fiber,Fiber,2.6
Fiber,Fiber,4.849
Fiber,Fiber,25.61
Fiber,Fiber,7.566
Fiber,Fiber,183.3
Fiber,Fiber,26.52
Fiber,Fiber,5.213
Fiber,Fiber,1.625
Fiber,Fiber,19.5
Fiber,Fiber,296.01
Fiber,Fiber,6.409
Fiber,Fiber,60.84
Fiber,Fiber,3.939
Fiber,Fiber,20.28
Fiber,Fiber,8.671
Fiber,Fiber,8.723
Fiber,Fiber,84.8516
Fiber,Fiber,620.0000003
Fiber,Fiber,0.36284
Fiber,Fiber,0.462621
Fiber,Fiber,0.462621
Fiber,Fiber,0.498905
Fiber,Fiber,0.54426
Fiber,Fiber,0.5487955
Fiber,Fiber,0.571473
Fiber,Fiber,0.680325
Fiber,Fiber,0.507976
Fiber,Fiber,0.54426
Fiber,Fiber,0.353769
Fiber,Fiber,0.326556
Fiber,Fiber,0.680325
Fiber,Fiber,0.489834
Nurdle,Nurdle,1.113
Nurdle,Nurdle,21.15
Nurdle,Nurdle,12.12
Nurdle,Nurdle,7.56
Nurdle,Nurdle,5.22
Nurdle,Nurdle,24.78
Nurdle,Nurdle,6.39
Nurdle,Nurdle,0.1116
Nurdle,Nurdle,4.95
Nurdle,Nurdle,2.238
Nurdle,Nurdle,20.58
Nurdle,Nurdle,0.6
Nurdle,Nurdle,1.119
Nurdle,Nurdle,5.91
Nurdle,Nurdle,1.746
Nurdle,Nurdle,42.3
Nurdle,Nurdle,6.12
Nurdle,Nurdle,1.203
Nurdle,Nurdle,0.375
Nurdle,Nurdle,4.5
Nurdle,Nurdle,68.31
Nurdle,Nurdle,1.479
Nurdle,Nurdle,14.04
Nurdle,Nurdle,0.909
Nurdle,Nurdle,4.68
Nurdle,Nurdle,2.001
Nurdle,Nurdle,2.013
Nurdle,Nurdle,20.2078
Nurdle,Nurdle,0.00144
Nurdle,Nurdle,0.001836
Nurdle,Nurdle,0.001836
Nurdle,Nurdle,0.00198
Nurdle,Nurdle,0.00216
Nurdle,Nurdle,0.002178
Nurdle,Nurdle,0.002268
Nurdle,Nurdle,0.0027
Nurdle,Nurdle,0.002016
Nurdle,Nurdle,0.00216
Nurdle,Nurdle,0.001404
Nurdle,Nurdle,0.001296
Nurdle,Nurdle,0.0027
Nurdle,Nurdle,0.001944
Film,Film,0.0174
Film,Film,0.0192
Film,Film,0.0806
Film,Film,0.06
Film,Film,0.0192
Film,Film,5.194
Film,Film,98.7
Film,Film,56.56
Film,Film,35.28
Film,Film,24.36
Film,Film,115.64
Film,Film,29.82
Film,Film,0.5208
Film,Film,23.1
Film,Film,10.444
Film,Film,96.04
Film,Film,2.8
Film,Film,5.222
Film,Film,27.58
Film,Film,8.148
Film,Film,197.4
Film,Film,28.56
Film,Film,5.614
Film,Film,1.75
Film,Film,21
Film,Film,318.78
Film,Film,6.902
Film,Film,65.52
Film,Film,4.242
Film,Film,21.84
Film,Film,9.338
Film,Film,9.394
Film,Film,0.7406
Foam,Foam,1.855
Foam,Foam,35.25
Foam,Foam,20.2
Foam,Foam,12.6
Foam,Foam,8.7
Foam,Foam,41.3
Foam,Foam,10.65
Foam,Foam,0.186
Foam,Foam,8.25
Foam,Foam,3.73
Foam,Foam,34.3
Foam,Foam,1
Foam,Foam,1.865
Foam,Foam,9.85
Foam,Foam,2.91
Foam,Foam,70.5
Foam,Foam,10.2
Foam,Foam,2.005
Foam,Foam,0.625
Foam,Foam,7.5
Foam,Foam,113.85
Foam,Foam,2.465
Foam,Foam,23.4
Foam,Foam,1.515
Foam,Foam,7.8
Foam,Foam,3.335
Foam,Foam,3.355
Foam,Foam,0.00032
Foam,Foam,0.000408
Foam,Foam,0.000408
