DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,Fragment,Fiber,Nurdle,Film,Foam,Sphere,Line,Bead,Sheet,Film_Fragment,Rubbery_Fragment
http://dce2.au.dk/pub/SR291.pdf ,1|http://dce2.au.dk/pub/SR291.pdf ,1a|http://dce2.au.dk/pub/SR291.pdf ,tap water,29,particles/50 L,0.58,0.1,0.86,,0.03,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,1|http://dce2.au.dk/pub/SR291.pdf ,1b|http://dce2.au.dk/pub/SR291.pdf ,tap water,18,particles/50 L,0.36,0.28,0.72,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,2|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,16,particles/50 L,0.32,0.06,0.78,,0.06,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,3|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,12,particles/50 L,0.24,,1,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,4|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,13,particles/50 L,0.26,0.07,0.62,,0.31,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,5|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,7,particles/50 L,0.14,0.14,0.86,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,6|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,11,particles/50 L,0.22,0.1,0.9,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,7|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,10,particles/50 L,0.2,,1,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,8|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,30,particles/50 L,0.6,0.23,0.67,,0.1,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,9|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,12,particles/50 L,0.24,0.08,0.84,,0.08,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,10|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,13,particles/50 L,0.26,,1,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,11|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,11,particles/50 L,0.22,,1,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,12|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,27,particles/50 L,0.54,0.26,0.74,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,13|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,9,particles/50 L,0.18,,1,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,14|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,4,particles/50 L,0.08,,1,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,15|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,19,particles/50 L,0.38,0.26,0.74,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,16|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,17,particles/50 L,0.34,0.3,0.7,,,,,,,,,
http://dce2.au.dk/pub/SR291.pdf ,17|http://dce2.au.dk/pub/SR291.pdf ,N/A,tap water,13,particles/50 L,0.26,0.08,0.92,,,,,,,,,
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,bottled water,37.1,particles/L,37.1,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,bottled water,705,particles/L,705,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,bottled water,404,particles/L,404,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,bottled water,252,particles/L,252,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,bottled water,174,particles/L,174,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,bottled water,826,particles/L,826,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,bottled water,213,particles/L,213,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,bottled water,3.72,particles/L,3.72,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,bottled water,165,particles/L,165,0.65,0.13,0.03,0.14,0.05,,,,,,
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,bottled water,74.6,particles/L,74.6,0.65,0.13,0.03,0.14,0.05,,,,,,
