"","material","proportion","Source","correction"
"1","CA",0.00272932589169742,"Drinking Water","Before"
"2","co-polymers",7.68745611440195,"Drinking Water","Before"
"3","other plastic",3.46575411355164,"Drinking Water","Before"
"4","PA",5.42861838135208,"Drinking Water","Before"
"5","PAM",0.327426154227472,"Drinking Water","Before"
"6","PBA",0.200138946294117,"Drinking Water","Before"
"7","PE",13.7091521205253,"Drinking Water","Before"
"8","PEST",0.956302809368331,"Drinking Water","Before"
"9","PET",23.403557270369,"Drinking Water","Before"
"10","PMMA",0.200138946294117,"Drinking Water","Before"
"11","PP",26.058331373636,"Drinking Water","Before"
"12","PPE",0.181743814386307,"Drinking Water","Before"
"13","PPS",1.81767991984356,"Drinking Water","Before"
"14","PS",3.52249045699163,"Drinking Water","Before"
"15","PTT",0.200138946294117,"Drinking Water","Before"
"16","PVC",3.46363263273279,"Drinking Water","Before"
"17","vinyl",9.37470867384015,"Drinking Water","Before"
"18","CA",34.3775600244466,"River","Before"
"19","neoprene",0.886850483937758,"River","Before"
"20","nonpolymeric",3.10397771904283,"River","Before"
"21","other plastic",0.0199954772469648,"River","Before"
"22","PA",1.77370096787552,"River","Before"
"23","PAI",0.886850483937758,"River","Before"
"24","PAN",2.66055145181327,"River","Before"
"25","PE",10.554489060608,"River","Before"
"26","PET",9.13649658805626,"River","Before"
"27","PP",16.9475589589493,"River","Before"
"28","PS",14.3308658804586,"River","Before"
"29","PU",1.77370096787552,"River","Before"
"30","PVA",0.886850483937758,"River","Before"
"31","PVDF",0.886850483937758,"River","Before"
"32","SBR",1.77370096787552,"River","Before"
"33","CA",0.0346155984824164,"Drinking Water","After"
"34","co-polymers",5.02858941908919,"Drinking Water","After"
"35","other plastic",2.27343614120056,"Drinking Water","After"
"36","PA",8.44743495458271,"Drinking Water","After"
"37","PAM",0.21417900410247,"Drinking Water","After"
"38","PBA",0.130916726247872,"Drinking Water","After"
"39","PE",13.2602086091939,"Drinking Water","After"
"40","PEST",2.51205509785963,"Drinking Water","After"
"41","PET",15.4805008371548,"Drinking Water","After"
"42","PMMA",0.130916726247872,"Drinking Water","After"
"43","PP",32.5687626928739,"Drinking Water","After"
"44","PPE",0.125488596526357,"Drinking Water","After"
"45","PPS",1.18899748838844,"Drinking Water","After"
"46","PS",4.70148329130146,"Drinking Water","After"
"47","PTT",0.130916726247872,"Drinking Water","After"
"48","PVC",3.55104715018981,"Drinking Water","After"
"49","vinyl",10.2204509403106,"Drinking Water","After"
"50","CA",37.0732462349968,"River","After"
"51","neoprene",0.204412367828838,"River","After"
"52","nonpolymeric",0.715443325433963,"River","After"
"53","other plastic",0.000741276574666215,"River","After"
"54","PA",0.408824735657677,"River","After"
"55","PAI",0.204412367828838,"River","After"
"56","PAN",0.613237103486516,"River","After"
"57","PE",4.76468853567806,"River","After"
"58","PET",6.76981010575956,"River","After"
"59","PP",24.8939084537882,"River","After"
"60","PS",23.1248012859954,"River","After"
"61","PU",0.408824735657677,"River","After"
"62","PVA",0.204412367828838,"River","After"
"63","PVDF",0.204412367828838,"River","After"
"64","SBR",0.408824735657677,"River","After"
