"","morphology","Source","correction","proportion"
"1","Fiber","Drinking Water","Before",18.8981139764939
"2","Film","Drinking Water","Before",12.5169460561397
"3","Foam","Drinking Water","Before",4.46667936965918
"4","Fragment","Drinking Water","Before",60.3985552206132
"5","Nurdle","Drinking Water","Before",2.88576669251628
"6","Sphere","Drinking Water","Before",0.833938684577698
"7","Fiber","River","Before",63.6008203996674
"8","Film","River","Before",0.0427683589305686
"9","Foam","River","Before",9.51162530699693e-06
"10","Fragment","River","Before",34.6082069271495
"11","Nurdle","River","Before",0.0598737892492902
"12","Sphere","River","Before",1.68832101337792
"13","Fiber","Drinking Water","After",16.8662676877642
"14","Film","Drinking Water","After",13.1488080088131
"15","Foam","Drinking Water","After",4.68416379079431
"16","Fragment","Drinking Water","After",61.652522531491
"17","Nurdle","Drinking Water","After",3.39260135674694
"18","Sphere","Drinking Water","After",0.255636624390465
"19","Fiber","River","After",5.31722504697566
"20","Film","River","After",8.58576430994635e-08
"21","Foam","River","After",9.65987166209824e-07
"22","Fragment","River","After",79.7589967702671
"23","Nurdle","River","After",1.85893935022591e-06
"24","Sphere","River","After",14.9237752719724
