study_media,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,correction_factor_upper,corrected_concentration_lower,corrected_concentration_upper
effluent,1.49,0.7,5000,doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|1,N/A,2.53,2.54,2.55,0.58,0.8642,0.579428164,0.5753096,0.863347965,0.857211304
effluent,1.47,0.7,5000,doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|2,N/A,,2.54,,0.58,0.8526,0.579428164,0.5753096,0.851759401,0.845705112
effluent,0.4,0.7,5000,doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|4,N/A,,2.54,,0.58,0.232,0.579428164,0.5753096,0.231771266,0.23012384
effluent,0.35,0.7,5000,doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|5,N/A,,2.54,,0.58,0.203,0.579428164,0.5753096,0.202799857,0.20135836
effluent,0.22,0.7,5000,doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|6,N/A,,2.54,,0.58,0.1276,0.579428164,0.5753096,0.127474196,0.126568112
effluent,1.36,0.7,5000,doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|3,N/A,,2.54,,0.58,0.7888,0.579428164,0.5753096,0.788022303,0.782421056
freshwatersediment,240,0.45,5000,doi.org/10.1016/j.scitotenv.2019.02.028,Dam5SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,,3.25,,0.17,40.8,0.193026871,0.142507766,46.32644896,34.20186394
freshwatersediment,145,0.45,5000,doi.org/10.1016/j.scitotenv.2019.02.028,Dam6SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,,3.25,,0.17,24.65,0.193026871,0.142507766,27.98889625,20.66362613
freshwatersediment,55,0.45,5000,doi.org/10.1016/j.scitotenv.2019.02.028,Dam1SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,,3.25,,0.17,9.35,0.193026871,0.142507766,10.61647789,7.837927153
freshwatersediment,60,0.45,5000,doi.org/10.1016/j.scitotenv.2019.02.028,Dam2SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,,3.25,,0.17,10.2,0.193026871,0.142507766,11.58161224,8.550465985
