DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,morphologydirty,fiber,foams,films,fragments,pellets,foam,line,film,fibers,beads,spheres,spherical,other,styrofoam,sheets,polystyrene,extruded polystyrene,fragment
doi.org/10.3389/frans.2022.857694,doi.org/10.3389/frans.2022.857694|SanMarcos,N/A,River Water,187,particles total (0.8 L samples),233.75,1 fragment; 186 fibers,,,,0.005347594,,,,,0.994652406,,,,,,,,,
doi.org/10.3389/frans.2022.857694,doi.org/10.3389/frans.2022.857694|Waco,N/A,River Water,663,particles total (0.8 L samples),828.75,33 fragments; 630 fibers,,,,0.049773756,,,,,0.950226244,,,,,,,,,
doi.org/10.3389/frans.2022.857694,doi.org/10.3389/frans.2022.857694|Wilsons,N/A,River Water,105,particles total (0.8 L samples),131.25,7 fragments; 98 fibers,,,,0.066666667,,,,,0.933333333,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 401,N/A,river water,1,particles total in sample (normalized to 0.5 L),2,1 fragments; 24 fibers,,,,0.04,,,,,0.96,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 391,N/A,river water,10,particles total in sample (normalized to 0.5 L),20,10 fragments; 1 fibers,,,,0.90909,,,,,0.09091,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 393,N/A,river water,11,particles total in sample (normalized to 0.5 L),22,11 fragments; 17 fibers,,,,0.392857143,,,,,0.607142857,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 418,N/A,river water,11,particles total in sample (normalized to 0.5 L),22,11 fragments; 59 fibers,,,,0.16,,,,,0.842857143,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 417,N/A,river water,12,particles total in sample (normalized to 0.5 L),24,12 fragments; 10 fibers,,,,0.545454545,,,,,0.454545455,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 412,N/A,river water,12,particles total in sample (normalized to 0.5 L),24,12 fragments; 38 fibers,,,,0.24,,,,,0.76,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 422,N/A,river water,12,particles total in sample (normalized to 0.5 L),24,12 fragments; 49 fibers,,,,0.196721311,,,,,0.803278689,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 426,N/A,river water,129,particles total in sample (normalized to 0.5 L),258,129 fragments; 99 fibers,,,,0.565789474,,,,,0.434210526,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 413,N/A,river water,18,particles total in sample (normalized to 0.5 L),36,18 fragments; 14 fibers,,,,0.5625,,,,,0.4375,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 396,N/A,river water,19,particles total in sample (normalized to 0.5 L),38,19 fragments; 30 fibers,,,,0.387755102,,,,,0.612244898,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 410,N/A,river water,2,particles total in sample (normalized to 0.5 L),4,2 fragments; 4 fibers,,,,0.333333333,,,,,0.666666667,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 423,N/A,river water,2,particles total in sample (normalized to 0.5 L),4,2 fragments; 68 fibers,,,,0.028571429,,,,,0.971428571,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 424,N/A,river water,2,particles total in sample (normalized to 0.5 L),4,2 fragments; 9 fibers,,,,0.181818182,,,,,0.818181818,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 421,N/A,river water,25,particles total in sample (normalized to 0.5 L),50,25 fragments; 7 fibers,,,,0.84375,,,,,0.21875,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 427,N/A,river water,27,particles total in sample (normalized to 0.5 L),54,27 fragments; 17 fibers,,,,0.613636364,,,,,0.386363636,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 386,N/A,river water,3,particles total in sample (normalized to 0.5 L),6,3 fragments; 11 fibers,,,,0.214285714,,,,,0.785714286,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 389,N/A,river water,3,particles total in sample (normalized to 0.5 L),6,3 fragments; 12 fibers,,,,0.2,,,,,0.8,,,,,,,,,
