sample_ID,morphology,morphology_raw,morph_ratio
1a|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.1
1b|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.28
2|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.06
4|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.07
5|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.14
6|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.1
8|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.23
9|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.08
12|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.26
15|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.26
16|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.3
17|http://dce2.au.dk/pub/SR291.pdf,Fragment,Fragment,0.08
IB|101119.10.3389/fchem.2018.00407,Fragment,Fragment,0.65
BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
Oct0719|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
BN7141A04117|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
Oct 0118NHBRB|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
P18NOV17CG3|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
17.11.18|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
14.10.18|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
09.08.18|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
PRD 05 24 17 11:29|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
07.142018 2|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
NV No. AC-51-07269|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
FAB: 211017 09:06SP|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
FAB: 160817 15:05SP|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
FAB: 091217 16:53SP|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
100517 278WF246|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
730805210A 23:28|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
BBE 11.2018 10|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
20171102 1214JN|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
20171021 3214GH|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
20171103 2106WF|10.3389/fchem.2018.00407,Fragment,Fragment,0.65
Finished|10.1016/j.scitotenv.2019.134520,Fragment,Fragment,0.24516129
TCQS|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
SHN|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
CHQ|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
CHH|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
ZHB|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
DAS|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
XHS|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
HNZ|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
TCH|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
WHH|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
Spr|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
Sum|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
Aut|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
Win|10.1016/j.scitotenv.2021.148001,Fragment,Fragment,0.0772
1a|http://dce2.au.dk/pub/SR291.pdf,Fiber,Fiber,0.86
1b|http://dce2.au.dk/pub/SR291.pdf,Fiber,Fiber,0.72
2|http://dce2.au.dk/pub/SR291.pdf,Fiber,Fiber,0.78
3|http://dce2.au.dk/pub/SR291.pdf,Fiber,Fiber,1
4|http://dce2.au.dk/pub/SR291.pdf,Fiber,Fiber,0.62
