"","morphology","Source","correction","proportion"
"1","Fiber","Drinking Water","Before",18.8981139765764
"2","Film","Drinking Water","Before",12.516946056127
"3","Foam","Drinking Water","Before",4.46667936965463
"4","Fragment","Drinking Water","Before",60.3985552205518
"5","Nurdle","Drinking Water","Before",2.88576669251334
"6","Sphere","Drinking Water","Before",0.833938684576849
"7","Fiber","River","Before",36.912612513212
"8","Film","River","Before",0.0783197001186501
"9","Foam","River","Before",1.7418161572355e-05
"10","Fragment","River","Before",59.8076628049019
"11","Nurdle","River","Before",0.109644076362601
"12","Sphere","River","Before",3.09174348724318
"13","Fiber","Drinking Water","After",16.8669217786713
"14","Film","Drinking Water","After",13.1489409177273
"15","Foam","Drinking Water","After",4.68419045058916
"16","Fragment","Drinking Water","After",61.6511261051286
"17","Nurdle","Drinking Water","After",3.39383126511602
"18","Sphere","Drinking Water","After",0.25498948276752
"19","Fiber","River","After",5.11142608828437
"20","Film","River","After",8.60341828584341e-08
"21","Foam","River","After",9.68186618526957e-07
"22","Fragment","River","After",79.9308173389315
"23","Nurdle","River","After",1.86314545164588e-06
"24","Sphere","River","After",14.957753655418
